query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
22,1,0.80000000000000004,0.90000000000000002,0.90000000000000002,1,0,0.19999999999999996,0.099999999999999978,0.099999999999999978,1028,901,1,0.90000000000000002,0
23,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,909,1018,1,1,0
24,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,617,610,0.69999999999999996,0.69999999999999996,0
25,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,577,570,1,1,0
26,1,1,1,1,1,0,0,0,0,659,650,1,1,0
27,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,572,620,0.90000000000000002,0.90000000000000002,0
28,0.80000000000000004,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.80000000000000004,0,0.20000000000000007,0.20000000000000007,0,886,897,0.80000000000000004,0.59999999999999998,0
29,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,730,692,0.90000000000000002,0.90000000000000002,0
30,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,600,540,1,1,0
31,0.80000000000000004,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.80000000000000004,0,0,-0.099999999999999978,0.099999999999999978,1390,811,0.80000000000000004,0.90000000000000002,0
32,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,781,730,0.90000000000000002,0.90000000000000002,0
33,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,652,633,1,1,0
34,0.80000000000000004,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0.10000000000000009,0,0.10000000000000009,572,569,0.80000000000000004,0.80000000000000004,0
35,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,639,651,0.80000000000000004,0.80000000000000004,0
36,1,1,1,1,1,0,0,0,0,452,546,1,1,0
37,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,843,918,0.90000000000000002,0.90000000000000002,0
38,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,516,506,0.80000000000000004,0.80000000000000004,0
39,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,680,578,1,1,0
40,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,404,431,1,1,0
41,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,711,735,0.90000000000000002,0.90000000000000002,0
42,1,1,1,1,1,0,0,0,0,230,214,1,1,0
43,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,715,698,0.90000000000000002,0.90000000000000002,0
44,0.5,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.5,0,-0.099999999999999978,-0.099999999999999978,0,558,560,0.5,0.59999999999999998,0
45,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,728,631,1,1,0
46,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,1165,885,0.90000000000000002,0.90000000000000002,0
47,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,715,729,1,1,0
48,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,634,595,1,1,0
49,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,403,417,1,1,0
50,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,919,993,1,1,0
51,1,1,1,1,1,0,0,0,0,573,554,1,1,0
52,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,712,820,0.40000000000000002,0.40000000000000002,0
53,1,1,1,1,1,0,0,0,0,510,733,1,1,0
54,1,1,1,1,1,0,0,0,0,684,684,1,1,0
55,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0,0,0,658,663,0.80000000000000004,0.80000000000000004,0
56,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,537,521,1,1,0
57,0.80000000000000004,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,0.10000000000000009,0,0.10000000000000009,973,1003,0.80000000000000004,0.80000000000000004,0
58,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,357,363,1,1,0
59,0.90000000000000002,0.69999999999999996,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.20000000000000007,0.099999999999999978,0.10000000000000009,656,739,0.90000000000000002,0.80000000000000004,0
60,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,887,827,0.90000000000000002,0.90000000000000002,0
61,0.40000000000000002,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.40000000000000002,0,-0.29999999999999993,-0.29999999999999993,0,605,735,0.40000000000000002,0.69999999999999996,0
62,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,806,673,0.90000000000000002,0.90000000000000002,0
63,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,724,726,0.90000000000000002,0.90000000000000002,0
64,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,560,603,1,1,0
65,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,683,673,1,1,0
66,0.90000000000000002,0.80000000000000004,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,0,0.099999999999999978,532,518,0.90000000000000002,0.90000000000000002,0
67,0.90000000000000002,0.80000000000000004,1,0.90000000000000002,0.90000000000000002,0,0.099999999999999978,-0.099999999999999978,0.19999999999999996,724,755,0.90000000000000002,1,0
68,1,1,1,1,1,0,0,0,0,504,589,1,1,0
69,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,631,635,1,1,0
70,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,706,1295,1,1,0
71,1,0.80000000000000004,1,1,1,0,0.19999999999999996,0,0.19999999999999996,548,538,1,1,0
72,1,1,1,1,1,0,0,0,0,270,261,1,1,0
73,0.90000000000000002,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.90000000000000002,0,0.20000000000000007,0.20000000000000007,0,616,559,0.90000000000000002,0.69999999999999996,0
