sample,query_id,base_id,other_id,exact,pq,absolute_relative_error,reconstruction_l2,order_inversion,adc_reference_error
6126,2341,303234,896113,1.6760435104370117,1.6002415418624878,0.045226730406284332,0.28603607416152954,0,5.9604644775390625e-07
6127,7522,630629,848651,1.7223567962646484,1.6384459733963013,0.048718605190515518,0.29754441976547241,0,5.9604644775390625e-07
6128,184,593550,589938,1.9680087566375732,1.8694120645523071,0.050099723041057587,0.29329571127891541,0,4.76837158203125e-07
6129,1382,91038,841931,1.8111013174057007,1.7294461727142334,0.045085906982421875,0.29117652773857117,0,0
6130,1198,104498,659549,1.8355393409729004,1.7498934268951416,0.046659808605909348,0.29342329502105713,0,9.5367431640625e-07
6131,1176,976745,896941,1.7905192375183105,1.6801495552062988,0.061641160398721695,0.3087058961391449,0,9.5367431640625e-07
6132,7387,200266,369281,1.7424999475479126,1.665839672088623,0.043994419276714325,0.29543185234069824,0,7.152557373046875e-07
6133,7135,926284,728175,1.6410844326019287,1.5712645053863525,0.042544994503259659,0.29007971286773682,0,7.152557373046875e-07
6134,4581,307312,463069,1.8125236034393311,1.7437202930450439,0.037959951907396317,0.28626284003257751,0,7.152557373046875e-07
6135,3894,19521,738753,1.9001865386962891,1.8052549362182617,0.049959097057580948,0.30023479461669922,0,8.3446502685546875e-07
6136,7557,581466,336264,1.9154174327850342,1.850794792175293,0.0337381511926651,0.28522372245788574,0,8.3446502685546875e-07
6137,5490,511696,252101,2.0107347965240479,1.9119280576705933,0.049139618873596191,0.28991612792015076,0,5.9604644775390625e-07
6138,79,882836,67238,2.0742297172546387,2.0094296932220459,0.031240524724125862,0.28608959913253784,0,2.384185791015625e-07
6139,7172,19340,750669,1.6955399513244629,1.6100530624389648,0.050418682396411896,0.2938653826713562,0,4.76837158203125e-07
6140,2883,176358,293139,1.9049474000930786,1.8252902030944824,0.041815955191850662,0.29589933156967163,0,9.5367431640625e-07
6141,1010,400236,38863,1.9088937044143677,1.8361048698425293,0.03813142329454422,0.29842400550842285,0,8.3446502685546875e-07
6142,325,368063,171992,2.0823819637298584,1.9246072769165039,0.07576645165681839,0.28634098172187805,0,2.384185791015625e-07
6143,8907,138414,391619,1.8170785903930664,1.7478971481323242,0.038072895258665085,0.28882735967636108,1,2.384185791015625e-07
6144,8625,986592,72630,1.9721605777740479,1.8823249340057373,0.04555189236998558,0.30268087983131409,0,3.5762786865234375e-07
6145,8433,108320,619248,1.9098873138427734,1.783348560333252,0.066254563629627228,0.29983657598495483,0,2.384185791015625e-07
6146,9718,676270,349628,1.7608906030654907,1.6892220973968506,0.040700145065784454,0.29349207878112793,0,2.384185791015625e-07
6147,8261,941063,245254,1.8724884986877441,1.8026174306869507,0.037314552813768387,0.29459890723228455,0,2.384185791015625e-07
6148,3624,147579,179939,1.8020501136779785,1.6987118721008301,0.057344820350408554,0.29894182085990906,0,4.76837158203125e-07
6149,2552,160537,471993,1.8759920597076416,1.7980630397796631,0.04154016450047493,0.29170691967010498,0,1.1920928955078125e-07
6150,8327,871015,717178,1.6157424449920654,1.5258814096450806,0.055615939199924469,0.3043595552444458,0,3.5762786865234375e-07
6151,5895,679314,421945,1.6229994297027588,1.5624645948410034,0.03729812428355217,0.28995093703269958,0,5.9604644775390625e-07
6152,2945,29007,143680,1.9796333312988281,1.8979589939117432,0.041257306933403015,0.28768593072891235,0,1.1920928955078125e-07
6153,8138,455383,439846,1.7580227851867676,1.6988725662231445,0.033645875751972198,0.29006370902061462,0,4.76837158203125e-07
6154,9359,856013,644055,1.9468660354614258,1.8379435539245605,0.055947598069906235,0.30516737699508667,0,1.1920928955078125e-07
6155,4727,368996,167850,1.9298886060714722,1.8025103807449341,0.066002890467643738,0.30203917622566223,0,1.1920928955078125e-07
6156,5963,117891,71026,1.5109307765960693,1.4575512409210205,0.035328909754753113,0.29224193096160889,0,5.9604644775390625e-07
6157,1882,53574,590309,1.8496999740600586,1.7379748821258545,0.060401737689971924,0.30040484666824341,0,1.0728836059570312e-06
6158,543,782040,620289,1.7878891229629517,1.719596266746521,0.038197480142116547,0.29076707363128662,1,1.1920928955078125e-07
6159,619,186548,957882,1.6860954761505127,1.5672144889831543,0.070506677031517029,0.29841107130050659,0,4.76837158203125e-07
6160,2912,923915,945879,1.524280309677124,1.4753820896148682,0.032079547643661499,0.29578068852424622,0,4.76837158203125e-07
6161,9567,666171,359543,2.054955005645752,1.9253400564193726,0.063074350357055664,0.30009633302688599,0,3.5762786865234375e-07
6162,6422,19151,295957,2.0507333278656006,1.9722131490707397,0.038288827985525131,0.28542605042457581,0,8.3446502685546875e-07
