sample,query_id,base_id,other_id,exact,pq,absolute_relative_error,reconstruction_l2,order_inversion,adc_reference_error
3755,4885,517649,943422,1.8789094686508179,1.8599852323532104,0.010071925818920135,0.087547898292541504,0,1.1920928955078125e-07
3756,7685,802983,596750,1.9097578525543213,1.8956867456436157,0.0073680058121681213,0.087309896945953369,0,4.76837158203125e-07
3757,6280,760414,799885,1.673711895942688,1.6556553840637207,0.010788303799927235,0.087396316230297089,0,0
3758,2187,71804,56549,1.9048380851745605,1.8762729167938232,0.014996113255620003,0.091670714318752289,0,7.152557373046875e-07
3759,1775,316382,226270,1.9023892879486084,1.8720238208770752,0.015961753204464912,0.091537311673164368,0,1.3113021850585938e-06
3760,9287,138133,562330,1.8420610427856445,1.8103450536727905,0.017217664048075676,0.093632370233535767,0,1.1920928955078125e-07
3761,9145,380003,340742,1.7200918197631836,1.7022582292556763,0.010367813520133495,0.088737763464450836,0,7.152557373046875e-07
3762,5920,524348,420615,1.7310667037963867,1.7273004055023193,0.0021757094655185938,0.083892956376075745,0,7.152557373046875e-07
3763,6999,19805,161068,1.7061405181884766,1.7004855871200562,0.0033144580665975809,0.086006514728069305,0,3.5762786865234375e-07
3764,5861,385163,100460,1.515281081199646,1.4994093179702759,0.010474467650055885,0.088572345674037933,0,3.5762786865234375e-07
3765,7726,595563,877782,1.888150691986084,1.8666414022445679,0.011391722597181797,0.089621059596538544,0,7.152557373046875e-07
3766,5331,27654,988313,2.0741162300109863,2.0586662292480469,0.0074489559046924114,0.086950704455375671,0,2.384185791015625e-07
3767,1491,30355,295379,1.8902634382247925,1.8801811933517456,0.005333777517080307,0.085226386785507202,0,7.152557373046875e-07
3768,8748,165237,425179,1.6268136501312256,1.598236083984375,0.017566587775945663,0.090703807771205902,0,2.384185791015625e-07
3769,9103,796874,722509,1.6602165699005127,1.6578418016433716,0.0014303966891020536,0.084840305149555206,0,1.0728836059570312e-06
3770,7599,236417,277437,1.7486000061035156,1.7263275384902954,0.012737314216792583,0.092921555042266846,0,1.3113021850585938e-06
3771,5085,168768,969534,1.9923170804977417,1.9938207864761353,0.00075475231278687716,0.084446318447589874,0,2.384185791015625e-07
3772,5126,167142,629685,1.8915846347808838,1.8569434881210327,0.018313294276595116,0.10139989107847214,0,1.430511474609375e-06
3773,1834,915194,762893,2.0206766128540039,2.0056288242340088,0.0074469060637056828,0.087697401642799377,0,2.384185791015625e-07
3774,3657,957485,756619,2.0548257827758789,2.0426218509674072,0.0059391562826931477,0.08772016316652298,0,7.152557373046875e-07
3775,455,793626,542501,1.8573198318481445,1.829110860824585,0.015187998302280903,0.087082140147686005,0,1.7881393432617188e-06
3776,8170,314076,457875,1.800640344619751,1.7789430618286133,0.012049759738147259,0.083292245864868164,0,9.5367431640625e-07
3777,558,446026,805001,1.8795680999755859,1.8747704029083252,0.0025525528471916914,0.083206124603748322,0,7.152557373046875e-07
3778,8625,271987,974474,1.8812631368637085,1.8494292497634888,0.016921550035476685,0.097953677177429199,0,5.9604644775390625e-07
3779,8587,367421,662957,1.6927087306976318,1.6779980659484863,0.0086906058713793755,0.090818002820014954,0,1.1920928955078125e-06
3780,8172,208545,187137,1.850691556930542,1.8200737237930298,0.016543995589017868,0.093855731189250946,0,2.384185791015625e-07
3781,444,413980,801562,1.9724915027618408,1.9723933935165405,4.9738740926841274e-05,0.086095035076141357,0,1.1920928955078125e-07
3782,4345,336236,611434,1.7358005046844482,1.7235591411590576,0.0070522869937121868,0.087399289011955261,0,5.9604644775390625e-07
3783,3959,592954,663664,2.009735107421875,1.9868996143341064,0.011362439021468163,0.087542496621608734,0,9.5367431640625e-07
