stratum,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,Persistently harmful,boundary_margin,3700,309.4710810810811,216.5,732.0,924.0,1448.0199999999995,0.0,2448.0
all,Robust,relative_boundary_margin,647,0.019701320469886353,0.00905040733197556,0.05152980244774816,0.06883146672221979,0.14477452035846422,0.0,0.24173529752928893
all,Occasionally harmful,relative_boundary_margin,1812,0.014744550740546437,0.00993492035803829,0.035158249051064745,0.045584134893391255,0.06821158281421065,0.0,0.12018631502984976
all,Usually harmful,relative_boundary_margin,3841,0.009955840284692749,0.007140100347356233,0.022393319958791954,0.029093138924848404,0.0461035878904887,0.0,0.11423882857864176
all,Persistently harmful,relative_boundary_margin,3700,0.007117555972720528,0.004976549411446817,0.01622991496362415,0.02072004037409249,0.0325342682068622,0.0,0.08522480215670927
all,Robust,boundary_gap_r1,647,967.774343122102,574.0,2480.6,3228.399999999997,4861.179999999992,0.0,6627.0
all,Occasionally harmful,boundary_gap_r1,1812,712.0176600441501,508.5,1630.8000000000002,2070.5999999999985,2907.129999999998,0.0,3897.0
all,Usually harmful,boundary_gap_r1,3841,458.2202551418901,333.0,1049.0,1354.0,1933.3999999999987,0.0,4564.0
all,Persistently harmful,boundary_gap_r1,3700,309.4710810810811,216.5,732.0,924.0,1448.0199999999995,0.0,2448.0
all,Robust,boundary_gap_r2,647,2442.0432766615145,1978.0,4812.999999999999,5924.899999999998,8680.499999999996,117.0,14663.0
all,Occasionally harmful,boundary_gap_r2,1812,1912.3658940397352,1693.0,3417.7000000000003,4101.999999999989,5880.989999999989,74.0,14903.0
all,Usually harmful,boundary_gap_r2,3841,1450.526165061182,1258.0,2602.0,3191.0,4559.599999999997,12.0,7525.0
all,Persistently harmful,boundary_gap_r2,3700,1009.38,860.0,1885.1,2253.4499999999975,3367.289999999993,5.0,7230.0
all,Robust,boundary_gap_r5,647,6650.258114374034,5514.0,10885.6,13549.0,24060.77999999999,1667.0,39675.0
all,Occasionally harmful,boundary_gap_r5,1812,5434.564569536424,4943.5,8505.9,10098.699999999995,14757.40999999999,768.0,28422.0
all,Usually harmful,boundary_gap_r5,3841,4674.982556625879,4239.0,7412.0,8738.0,12833.199999999997,642.0,39738.0
all,Persistently harmful,boundary_gap_r5,3700,3725.1924324324323,3368.0,6134.1,7306.0,10260.819999999982,170.0,26472.0
all,Robust,local_distance_concentration,647,0.8587890035409205,0.3304380471323015,2.170928685633572,3.2497239732637055,8.656069017589523,0.07760971981155468,20.390134529147982
all,Occasionally harmful,local_distance_concentration,1812,0.8339042920046329,0.35925210314510864,1.7804240981570134,3.06420373550754,8.608452793749029,0.08939332483485919,27.13184584178499
all,Usually harmful,local_distance_concentration,3841,0.7697227596621585,0.3681372734496197,1.4364536899455176,2.752614705418616,7.523810533663101,0.06377947435984055,44.199887387387385
all,Persistently harmful,local_distance_concentration,3700,0.6900104786015873,0.3424239459277802,1.1672920383903889,2.249777223121304,7.318267120113238,0.0685879044399625,28.097902097902097
all,Robust,candidate_count,647,1116.5378670788255,1157.0,1350.0,1402.7999999999997,1503.2399999999998,287.0,1600.0
all,Occasionally harmful,candidate_count,1812,1071.9685430463576,1111.0,1310.0,1370.8999999999996,1489.229999999999,266.0,1742.0
all,Usually harmful,candidate_count,3841,1037.0052069773496,1076.0,1279.0,1331.0,1425.3999999999996,302.0,1579.0
all,Persistently harmful,candidate_count,3700,1001.3791891891892,1047.5,1266.0,1317.0,1418.0099999999998,247.0,1722.0
