query_id,recall_exact,recall_pq,recall_candidate_oracle,recall_all16,recall_exact_oracle,delta_exact_control,total_loss,discovery_loss,ranking_loss,exact_l0_count,pq_l0_count,coverage_exact,coverage_pq,top16_boundary_tie
2950,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,580,582,0.59999999999999998,0.59999999999999998,0
2951,0.40000000000000002,0.5,0.5,0.5,0.40000000000000002,0,-0.099999999999999978,-0.099999999999999978,0,792,799,0.40000000000000002,0.5,0
2952,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,615,601,0.90000000000000002,0.90000000000000002,0
2953,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,1026,1051,0.69999999999999996,0.69999999999999996,0
2954,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0.69999999999999996,0,0,0,0,677,647,0.69999999999999996,0.69999999999999996,0
2955,1,1,1,1,1,0,0,0,0,736,746,1,1,0
2956,1,1,1,1,1,0,0,0,0,896,873,1,1,0
2957,1,1,1,1,1,0,0,0,0,656,699,1,1,0
2958,1,1,1,1,1,0,0,0,0,587,593,1,1,0
2959,0.90000000000000002,0.80000000000000004,0.80000000000000004,0.80000000000000004,0.90000000000000002,0,0.099999999999999978,0.099999999999999978,0,634,608,0.90000000000000002,0.80000000000000004,0
2960,1,1,1,1,1,0,0,0,0,403,403,1,1,0
2961,1,1,1,1,1,0,0,0,0,759,782,1,1,0
2962,1,1,1,1,1,0,0,0,0,688,688,1,1,0
2963,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,498,499,1,1,0
2964,1,1,1,1,1,0,0,0,0,569,565,1,1,0
2965,1,0.90000000000000002,1,1,1,0,0.099999999999999978,0,0.099999999999999978,688,688,1,1,0
2966,1,1,1,1,1,0,0,0,0,1158,1127,1,1,0
2967,1,1,1,1,1,0,0,0,0,698,698,1,1,0
2968,1,0.80000000000000004,0.90000000000000002,0.90000000000000002,1,0,0.19999999999999996,0.099999999999999978,0.099999999999999978,743,808,1,0.90000000000000002,0
2969,1,1,1,1,1,0,0,0,0,583,583,1,1,0
2970,1,1,1,1,1,0,0,0,0,742,763,1,1,0
2971,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,675,670,0.40000000000000002,0.40000000000000002,0
2972,0,0,0,0,0,0,0,0,0,819,798,0,0,0
2973,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,0,0,0,0,702,704,0.59999999999999998,0.59999999999999998,0
2974,0.90000000000000002,1,1,1,0.90000000000000002,0,-0.099999999999999978,-0.099999999999999978,0,636,659,0.90000000000000002,1,0
2975,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,742,757,0.90000000000000002,0.90000000000000002,0
2976,0.90000000000000002,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.90000000000000002,0,0.30000000000000004,0.30000000000000004,0,985,897,0.90000000000000002,0.59999999999999998,0
2977,1,1,1,1,1,0,0,0,0,636,609,1,1,0
2978,1,1,1,1,1,0,0,0,0,675,654,1,1,0
2979,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,682,682,0.90000000000000002,0.90000000000000002,0
2980,1,1,1,1,1,0,0,0,0,520,513,1,1,0
2981,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0.90000000000000002,0,0,0,0,665,647,0.90000000000000002,0.90000000000000002,0
2982,1,1,1,1,1,0,0,0,0,593,608,1,1,0
2983,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,0,0,0,886,895,0.40000000000000002,0.40000000000000002,0
