scope,category,descriptor,queries,mean,median,p90,p95,p99,min,max
oracle1,occasionally vulnerable,d20,488,52649.72131147541,52079.5,77561.60000000002,84495.2,92183.06999999998,7891.0,104267.0
oracle1,occasionally vulnerable,boundary_margin,488,1267.5655737704917,1165.5,2375.5000000000005,2666.3,3622.8799999999997,21.0,5183.0
oracle1,occasionally vulnerable,relative_boundary_margin,488,0.02898697262770055,0.02571439753325471,0.05322297175392871,0.06139536947391792,0.0736151349728739,0.00028325555045995306,0.12018631502984976
oracle1,occasionally vulnerable,boundary_gap_r1,488,1267.5655737704917,1165.5,2375.5000000000005,2666.3,3622.8799999999997,21.0,5183.0
oracle1,occasionally vulnerable,boundary_gap_r2,488,2984.7950819672133,2747.0,4767.500000000001,5590.949999999997,7111.189999999999,405.0,9160.0
oracle1,occasionally vulnerable,boundary_gap_r5,488,7463.448770491803,6547.5,11466.2,13675.249999999995,22352.119999999995,1821.0,39738.0
oracle1,occasionally vulnerable,local_distance_concentration,488,1.337099840435661,0.6048597918380949,3.1912195131372125,4.719536745992991,8.842104919875734,0.155854159534406,27.13184584178499
oracle1,occasionally vulnerable,candidate_count,488,961.030737704918,1007.5,1223.6,1269.65,1319.52,340.0,1560.0
oracle1,occasionally vulnerable,oracle_recall,488,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oracle1,usually vulnerable,d1,2095,33568.6553699284,33134.0,54542.000000000015,61478.799999999996,72160.84,953.0,91160.0
oracle1,usually vulnerable,dk,2095,47890.61527446301,48496.0,69306.8,75153.4,85760.91999999993,3735.0,102429.0
oracle1,usually vulnerable,dk_plus_1,2095,48491.86396181384,49097.0,70238.2,76088.8,87003.69999999998,3914.0,103435.0
oracle1,usually vulnerable,d20,2095,52077.71980906921,52706.0,74778.8,80882.09999999999,91984.21999999999,4332.0,111716.0
oracle1,usually vulnerable,boundary_margin,2095,601.2486873508353,492.0,1297.8000000000004,1557.4999999999998,2023.6799999999957,0.0,2909.0
oracle1,usually vulnerable,relative_boundary_margin,2095,0.013580614440686563,0.011156538008454023,0.028175434218329326,0.03467273494843137,0.051485740750694946,0.0,0.09327456277548699
oracle1,usually vulnerable,boundary_gap_r1,2095,601.2486873508353,492.0,1297.8000000000004,1557.4999999999998,2023.6799999999957,0.0,2909.0
oracle1,usually vulnerable,boundary_gap_r2,2095,1868.056801909308,1693.0,3142.600000000001,3753.8999999999996,5033.879999999997,53.0,7525.0
oracle1,usually vulnerable,boundary_gap_r5,2095,5572.767541766109,5069.0,8497.400000000001,10313.6,14289.359999999971,672.0,33749.0
oracle1,usually vulnerable,local_distance_concentration,2095,1.0297154862381763,0.4383871306907791,2.0825960783231556,3.753254408149523,10.610857427412586,0.11020065552801983,44.199887387387385
