scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
all,candidate_count,R1-I3,-0.11546864718832216,-0.1618877236676203
all,candidate_count,R2-I1,-0.09985075238678834,-0.1618877236676203
all,candidate_count,R2-I2,-0.10800806457602317,-0.1618877236676203
all,candidate_count,R2-I3,-0.12852690387131538,-0.1618877236676203
all,candidate_count,R3-I1,-0.11325703236008225,-0.1618877236676203
all,candidate_count,R3-I2,-0.11597823177658817,-0.1618877236676203
all,candidate_count,R3-I3,-0.11386646939887073,-0.1618877236676203
all,candidate_count,R4-I1,-0.12614006429906377,-0.1618877236676203
all,candidate_count,R4-I2,-0.12785607895967813,-0.1618877236676203
all,candidate_count,R4-I3,-0.11341970399169746,-0.1618877236676203
all,oracle_recall,R0-I1,0.3084972665376439,0.4675002193085686
all,oracle_recall,R0-I2,0.31223954160065454,0.4675002193085686
all,oracle_recall,R0-I3,0.314046858034203,0.4675002193085686
all,oracle_recall,R1-I1,0.3059785452165357,0.4675002193085686
all,oracle_recall,R1-I2,0.31213605281691037,0.4675002193085686
all,oracle_recall,R1-I3,0.315301809769787,0.4675002193085686
all,oracle_recall,R2-I1,0.29477233988589335,0.4675002193085686
all,oracle_recall,R2-I2,0.30388934288344926,0.4675002193085686
all,oracle_recall,R2-I3,0.3077331492699702,0.4675002193085686
all,oracle_recall,R3-I1,0.3171772530803541,0.4675002193085686
all,oracle_recall,R3-I2,0.31760752683712795,0.4675002193085686
all,oracle_recall,R3-I3,0.29773324018291425,0.4675002193085686
all,oracle_recall,R4-I1,0.3225527300693862,0.4675002193085686
all,oracle_recall,R4-I2,0.3162931807367566,0.4675002193085686
all,oracle_recall,R4-I3,0.31233443567373953,0.4675002193085686
oracle1,d1,R0-I1,0.04423635261505341,0.08128182803007321
oracle1,d1,R0-I2,0.050900637331588325,0.08128182803007321
oracle1,d1,R0-I3,0.039666287078124224,0.08128182803007321
oracle1,d1,R1-I1,0.03766916145987197,0.08128182803007321
oracle1,d1,R1-I2,0.04987518599912522,0.08128182803007321
oracle1,d1,R1-I3,0.042704859797055204,0.08128182803007321
oracle1,d1,R2-I1,0.05534299373279878,0.08128182803007321
oracle1,d1,R2-I2,0.04689185775632783,0.08128182803007321
oracle1,d1,R2-I3,0.05844909702664094,0.08128182803007321
oracle1,d1,R3-I1,0.05112727072225661,0.08128182803007321
oracle1,d1,R3-I2,0.055920302783026045,0.08128182803007321
oracle1,d1,R3-I3,0.05129481305209116,0.08128182803007321
oracle1,d1,R4-I1,0.03650153386217372,0.08128182803007321
oracle1,d1,R4-I2,0.04620318919823047,0.08128182803007321
oracle1,d1,R4-I3,0.05233931449429642,0.08128182803007321
oracle1,dk,R0-I1,-0.030016630507295975,-0.055533916464808555
oracle1,dk,R0-I2,-0.019075944189011144,-0.055533916464808555
oracle1,dk,R0-I3,-0.038500001368932404,-0.055533916464808555
oracle1,dk,R1-I1,-0.047736822844709266,-0.055533916464808555
oracle1,dk,R1-I2,-0.02669099103226616,-0.055533916464808555
oracle1,dk,R1-I3,-0.04426717183647262,-0.055533916464808555
oracle1,dk,R2-I1,-0.026967879021166135,-0.055533916464808555
oracle1,dk,R2-I2,-0.03571046144427926,-0.055533916464808555
oracle1,dk,R2-I3,-0.03048187179405249,-0.055533916464808555
oracle1,dk,R3-I1,-0.0333007652157425,-0.055533916464808555
oracle1,dk,R3-I2,-0.028028998531421087,-0.055533916464808555
oracle1,dk,R3-I3,-0.03832386550693677,-0.055533916464808555
oracle1,dk,R4-I1,-0.04827698615807093,-0.055533916464808555
oracle1,dk,R4-I2,-0.03373514640316874,-0.055533916464808555
oracle1,dk,R4-I3,-0.031040453923235654,-0.055533916464808555
oracle1,dk_plus_1,R0-I1,-0.03994875816491419,-0.07139309498265728
oracle1,dk_plus_1,R0-I2,-0.029287802269121376,-0.07139309498265728
oracle1,dk_plus_1,R0-I3,-0.04889319288613212,-0.07139309498265728
oracle1,dk_plus_1,R1-I1,-0.057314327150005506,-0.07139309498265728
oracle1,dk_plus_1,R1-I2,-0.03700631554409257,-0.07139309498265728
oracle1,dk_plus_1,R1-I3,-0.05492705660000904,-0.07139309498265728
oracle1,dk_plus_1,R2-I1,-0.037118081999845585,-0.07139309498265728
oracle1,dk_plus_1,R2-I2,-0.045802192497293816,-0.07139309498265728
