scope,descriptor,model,realized_loss_spearman,mean_loss_spearman
oracle1,candidate_count,R1-I1,0.006383692309822948,0.027844215497858652
oracle1,candidate_count,R1-I2,0.026675414653028688,0.027844215497858652
oracle1,candidate_count,R1-I3,0.014928844833323258,0.027844215497858652
oracle1,candidate_count,R2-I1,0.02192694999275545,0.027844215497858652
oracle1,candidate_count,R2-I2,0.018943034445034444,0.027844215497858652
oracle1,candidate_count,R2-I3,0.003910186367975088,0.027844215497858652
oracle1,candidate_count,R3-I1,0.01327526993507388,0.027844215497858652
oracle1,candidate_count,R3-I2,0.016005713818926834,0.027844215497858652
oracle1,candidate_count,R3-I3,0.00837528275879187,0.027844215497858652
oracle1,candidate_count,R4-I1,-0.0036487995234047088,0.027844215497858652
oracle1,candidate_count,R4-I2,-0.0034962796065196545,0.027844215497858652
oracle1,candidate_count,R4-I3,0.0075530651771834175,0.027844215497858652
oracle1,oracle_recall,R0-I1,,
oracle1,oracle_recall,R0-I2,,
oracle1,oracle_recall,R0-I3,,
oracle1,oracle_recall,R1-I1,,
oracle1,oracle_recall,R1-I2,,
oracle1,oracle_recall,R1-I3,,
oracle1,oracle_recall,R2-I1,,
oracle1,oracle_recall,R2-I2,,
oracle1,oracle_recall,R2-I3,,
oracle1,oracle_recall,R3-I1,,
oracle1,oracle_recall,R3-I2,,
oracle1,oracle_recall,R3-I3,,
oracle1,oracle_recall,R4-I1,,
oracle1,oracle_recall,R4-I2,,
oracle1,oracle_recall,R4-I3,,
