model_a,model_b,rotation_a,rotation_b,relation,same_init,basis_relation,harmful_prevalence_a,harmful_prevalence_b,harmful_jaccard,independent_marginal_jaccard,loss_spearman,inversion_spearman,pair_jaccard
R2-I2,R4-I1,2,4,between,False,random_to_random,0.7229,0.7274,0.6818972515365882,0.5688034260425523,0.3806759678767665,0.3947856965346459,0.11603421603421603
R2-I2,R4-I2,2,4,between,True,random_to_random,0.7229,0.7288,0.6693882244710212,0.569659130197997,0.3539430838675235,0.37391701550332596,0.11757517168419229
R2-I2,R4-I3,2,4,between,False,random_to_random,0.7229,0.7215,0.6690547723596025,0.5651893395261836,0.363708466616155,0.3805009461030721,0.11611380884268833
R2-I3,R3-I1,2,3,between,False,random_to_random,0.7352,0.7268,0.6814261069580219,0.5760141597218557,0.38238109609949417,0.3845234151456078,0.11624518490861571
R2-I3,R3-I2,2,3,between,False,random_to_random,0.7352,0.7271,0.6889581889581889,0.5762025769225231,0.3797034706935494,0.3763610582431897,0.11826989493583452
R2-I3,R3-I3,2,3,between,True,random_to_random,0.7352,0.7254,0.6763456903477563,0.5751344525968863,0.3684348887122471,0.3934628935273619,0.1183397595826718
R2-I3,R4-I1,2,4,between,False,random_to_random,0.7352,0.7274,0.6863830277873861,0.5763909618584522,0.3833136805356204,0.39401275258330815,0.11839547300689089
R2-I3,R4-I2,2,4,between,False,random_to_random,0.7352,0.7288,0.6704701049748973,0.5772696651913306,0.3497328370567303,0.37730612856035195,0.11601600597945474
R2-I3,R4-I3,2,4,between,True,random_to_random,0.7352,0.7215,0.6764875129474047,0.5726801267731112,0.36498472693242723,0.3796626811419267,0.11555251765778081
R3-I1,R3-I2,3,3,within,False,same,0.7268,0.7271,0.691564863292612,0.571030164859728,0.4245272373231958,0.4397614184744666,0.14487310693193875
R3-I1,R3-I3,3,3,within,False,same,0.7268,0.7254,0.6837101449275362,0.569981113522889,0.416924991345831,0.4482312666887176,0.1459271349242083
R3-I1,R4-I1,3,4,between,True,random_to_random,0.7268,0.7274,0.6751526321852321,0.5712151822734945,0.373272176939765,0.3746942239582892,0.1171183602877592
R3-I1,R4-I2,3,4,between,False,random_to_random,0.7268,0.7288,0.669457506594793,0.5720781637781441,0.36527082407587597,0.38379266243063215,0.11558264835144627
R3-I1,R4-I3,3,4,between,False,random_to_random,0.7268,0.7215,0.6751098773999538,0.5675704811422884,0.37334408511318495,0.3910035271472826,0.11608991286585758
R3-I2,R3-I3,3,3,within,False,same,0.7271,0.7254,0.6897394136807817,0.5701656038798537,0.4222329851881399,0.4410606925278676,0.1470610244322221
R3-I2,R4-I1,3,4,between,False,random_to_random,0.7271,0.7274,0.676657060518732,0.5714004725069955,0.37860247952455567,0.38015584586648704,0.11419039349207075
R3-I2,R4-I2,3,4,between,True,random_to_random,0.7271,0.7288,0.6778840613115132,0.5722640143918691,0.3665751873051005,0.37431981104868134,0.11630677860468526
R3-I2,R4-I3,3,4,between,False,random_to_random,0.7271,0.7215,0.6779798447816519,0.5677534140114147,0.37573473651131506,0.3835133069272704,0.11561578069741447
R3-I3,R4-I1,3,4,between,False,random_to_random,0.7254,0.7274,0.6702690273626121,0.5703500613807121,0.37798889365185157,0.39097775484187314,0.11806280325917788
R3-I3,R4-I2,3,4,between,False,random_to_random,0.7254,0.7288,0.6741883490674648,0.5712104288784284,0.3738847092664772,0.38906116936939855,0.11839645122264178
R3-I3,R4-I3,3,4,between,True,random_to_random,0.7254,0.7215,0.6738778343359556,0.5667163567721419,0.36832075591558444,0.38927484495744624,0.11817598533455545
R4-I1,R4-I2,4,4,within,False,same,0.7274,0.7288,0.6877607788595271,0.5724498323497658,0.38957699020165376,0.4185342280713937,0.1422356154063471
R4-I1,R4-I3,4,4,within,False,same,0.7274,0.7215,0.6853553565197161,0.567936313801097,0.41176673875367426,0.4304006784389166,0.14275347978098818
R4-I2,R4-I3,4,4,within,False,same,0.7288,0.7215,0.6791710084520088,0.5687894090327137,0.4017425961813658,0.4271509535097044,0.14367566547102134
