stage,cell,workers,load1_before,load1_after,host_busy_fraction,host_iowait_fraction,worker_busy_min,worker_busy_max,available_memory_min_kib,swapfree_change_kib
benchmark_concurrent,ef64_T8_p1_r3,8,2.78,3.28,0.3327792844020646,0.0005248884612019946,0.9810924369747899,0.9958071278825996,23047472,0
benchmark_concurrent,ef64_T8_p1_r4,8,2.68,3.18,0.3320524017467249,0.0007860262008733624,0.9832985386221295,0.9958071278825996,23031380,0
benchmark_single,ef128_T1_p0_r0,1,1.33,1.93,0.04360871236627195,0.0006938388981088202,0.9993249324932493,0.9993249324932493,23037052,0
benchmark_single,ef128_T1_p0_r1,1,2.02,2.01,0.042918172237277896,0.00031052393857271905,0.9997741644083108,0.9997741644083108,23106432,0
benchmark_single,ef128_T1_p0_r2,1,2.0,2.19,0.04302463667037382,0.0003110214699063166,0.9995477159656264,0.9995477159656264,23100708,0
benchmark_single,ef128_T1_p0_r3,1,2.05,2.02,0.042975704878806975,0.00029203131329307697,0.9995478182229256,0.9995478182229256,23102736,0
benchmark_single,ef128_T1_p0_r4,1,2.05,2.09,0.042815613445852496,0.00030105463200775216,0.999548532731377,0.999548532731377,23104188,0
benchmark_single,ef128_T1_p1_r0,1,1.96,1.98,0.04292855042634525,0.0007718318141723022,0.9995590828924162,0.9995590828924162,23081264,0
benchmark_single,ef128_T1_p1_r1,1,2.04,2.02,0.0428834130194925,0.00033100404560500185,0.999558693733451,0.999558693733451,23108072,0
benchmark_single,ef128_T1_p1_r2,1,2.15,2.14,0.04282101972323116,0.0003586042021056503,0.99955879108758,0.99955879108758,23098472,0
benchmark_single,ef128_T1_p1_r3,1,2.01,2.0,0.04284728276663763,0.00039051147922115664,0.9995641752015689,0.9995641752015689,23108232,0
benchmark_single,ef128_T1_p1_r4,1,2.0,2.08,0.04265799941072479,0.00016573364761343547,0.9993371630578878,0.9993371630578878,23096784,0
benchmark_single,ef32_T1_p0_r0,1,2.11,2.07,0.043131587895273715,0.001870112206732404,0.9991840065279478,0.9991840065279478,23093388,0
benchmark_single,ef32_T1_p0_r1,1,2.0,2.0,0.04286517140959489,0.00025545394165431973,0.9991826726604005,0.9991826726604005,23111496,0
benchmark_single,ef32_T1_p0_r2,1,2.0,2.0,0.042944994293307004,0.00025552356779040254,0.9991823385118561,0.9991823385118561,23102340,0
benchmark_single,ef32_T1_p0_r3,1,2.02,2.01,0.043018803709691134,0.00025525397770781926,0.9991833401388321,0.9991833401388321,23095208,0
benchmark_single,ef32_T1_p0_r4,1,2.0,2.0,0.042728495310079495,0.0003234427931838687,0.9991833401388321,0.9991833401388321,23104644,0
benchmark_single,ef32_T1_p1_r0,1,1.98,2.12,0.042728829440082716,0.0002100093696487997,0.9992251065478497,0.9992251065478497,23074384,0
benchmark_single,ef32_T1_p1_r1,1,2.0,2.0,0.04317217436029319,0.0006268483991256268,0.9992289899768697,0.9992289899768697,23105728,0
benchmark_single,ef32_T1_p1_r2,1,2.0,2.0,0.04265786322296661,0.0002427420137877464,0.9992233009708738,0.9992233009708738,23103132,0
benchmark_single,ef32_T1_p1_r3,1,2.14,2.09,0.04297510019475603,0.00040238857860258495,0.9988412514484357,0.9988412514484357,23097088,0
benchmark_single,ef32_T1_p1_r4,1,2.08,2.05,0.043162228225910204,0.0006110896693683263,0.9992283950617284,0.9992283950617284,23103156,0
benchmark_single,ef64_T1_p0_r0,1,2.07,2.04,0.04275711509278246,0.0005724022257128404,0.9993610223642172,0.9993610223642172,23092700,0
benchmark_single,ef64_T1_p0_r1,1,2.0,2.0,0.04268000000000005,0.00022666666666666666,0.99968,0.99968,23109076,0
benchmark_single,ef64_T1_p0_r2,1,2.19,2.11,0.042992950224311044,0.00025368511001922666,0.9993589743589744,0.9993589743589744,23097364,0
benchmark_single,ef64_T1_p0_r3,1,2.01,2.01,0.04288018341042077,0.00027991415965770495,0.999360204734485,0.999360204734485,23103488,0
benchmark_single,ef64_T1_p0_r4,1,2.0,2.0,0.042975427350427364,0.0002938034188034188,0.9996794871794872,0.9996794871794872,23098312,0
benchmark_single,ef64_T1_p1_r0,1,1.93,1.96,0.04319549972636916,0.0015908772733636237,0.9993891264508247,0.9993891264508247,23037280,0
benchmark_single,ef64_T1_p1_r1,1,2.01,2.0,0.04281567489114657,0.0003564790059328292,0.9993889398105713,0.9993889398105713,23110356,0
benchmark_single,ef64_T1_p1_r2,1,2.1,2.17,0.042989485504287495,0.000472131482237648,0.9993876301285977,0.9993876301285977,23099608,0
benchmark_single,ef64_T1_p1_r3,1,2.09,2.05,0.04278871875875778,0.0003694173396856131,0.9996943765281173,0.9996943765281173,23104724,0
benchmark_single,ef64_T1_p1_r4,1,2.0,2.0,0.04285287676687244,0.00039816842524387816,0.9994028068080024,0.9994028068080024,23104716,0
