model,scope,metric,permutation,value
R0-I1,all,harmful_fraction,31,0.8134
R0-I1,all,harmful_fraction,32,0.8158
R0-I1,all,harmful_fraction,33,0.817
R0-I1,all,harmful_fraction,34,0.8219
R0-I1,all,harmful_fraction,35,0.8183
R0-I1,all,harmful_fraction,36,0.8167
R0-I1,all,harmful_fraction,37,0.8178
R0-I1,all,harmful_fraction,38,0.8242
R0-I1,all,harmful_fraction,39,0.8195
R0-I1,all,harmful_fraction,40,0.8177
R0-I1,all,harmful_fraction,41,0.8137
R0-I1,all,harmful_fraction,42,0.8174
R0-I1,all,harmful_fraction,43,0.8207
R0-I1,all,harmful_fraction,44,0.8257
R0-I1,all,harmful_fraction,45,0.8159
R0-I1,all,harmful_fraction,46,0.821
R0-I1,all,harmful_fraction,47,0.8226
R0-I1,all,harmful_fraction,48,0.8154
R0-I1,all,harmful_fraction,49,0.8166
R0-I1,oracle1,recall,0,0.8457399103138992
R0-I1,oracle1,recall,1,0.8457118834080696
R0-I1,oracle1,recall,2,0.8452914798206216
R0-I1,oracle1,recall,3,0.8452354260089655
R0-I1,oracle1,recall,4,0.8448850896860932
R0-I1,oracle1,recall,5,0.8445207399103067
R0-I1,oracle1,recall,6,0.8450252242152453
R0-I1,oracle1,recall,7,0.8444646860986523
R0-I1,oracle1,recall,8,0.8459921524663625
R0-I1,oracle1,recall,9,0.8433155829596405
R0-I1,oracle1,recall,10,0.8452494394618787
R0-I1,oracle1,recall,11,0.8440442825112043
R0-I1,oracle1,recall,12,0.8446468609865415
R0-I1,oracle1,recall,13,0.8431754484304878
R0-I1,oracle1,recall,14,0.8443665919282476
R0-I1,oracle1,recall,15,0.8442404708520129
R0-I1,oracle1,recall,16,0.8447589686098599
R0-I1,oracle1,recall,17,0.8446188340807129
R0-I1,oracle1,recall,18,0.8452073991031361
R0-I1,oracle1,recall,19,0.8455577354260069
R0-I1,oracle1,recall,20,0.8453615470851997
R0-I1,oracle1,recall,21,0.8441423766816105
R0-I1,oracle1,recall,22,0.8430773542600878
R0-I1,oracle1,recall,23,0.8451513452914776
R0-I1,oracle1,recall,24,0.845431614349769
R0-I1,oracle1,recall,25,0.8428251121076201
R0-I1,oracle1,recall,26,0.8445067264573937
R0-I1,oracle1,recall,27,0.8456418161434953
R0-I1,oracle1,recall,28,0.8444366591928198
R0-I1,oracle1,recall,29,0.8447449551569473
R0-I1,oracle1,recall,30,0.8463705156950648
R0-I1,oracle1,recall,31,0.8454035874439407
R0-I1,oracle1,recall,32,0.8451093049327345
R0-I1,oracle1,recall,33,0.8435538116591867
R0-I1,oracle1,recall,34,0.8432315022421488
R0-I1,oracle1,recall,35,0.8440582959641217
R0-I1,oracle1,recall,36,0.843175448430488
R0-I1,oracle1,recall,37,0.8442965246636762
R0-I1,oracle1,recall,38,0.8452354260089648
R0-I1,oracle1,recall,39,0.8450672645739874
R0-I1,oracle1,recall,40,0.8441844170403542
R0-I1,oracle1,recall,41,0.8452634529147934
R0-I1,oracle1,recall,42,0.8461042600896838
R0-I1,oracle1,recall,43,0.843707959641251
R0-I1,oracle1,recall,44,0.8442544843049317
R0-I1,oracle1,recall,45,0.8444506726457389
R0-I1,oracle1,recall,46,0.844338565022416
R0-I1,oracle1,recall,47,0.8464545964125509
R0-I1,oracle1,recall,48,0.8444086322869919
R0-I1,oracle1,recall,49,0.8453475336322855
R0-I1,oracle1,loss,0,0.15426008968610702
R0-I1,oracle1,loss,1,0.15428811659193645
R0-I1,oracle1,loss,2,0.15470852017937908
R0-I1,oracle1,loss,3,0.15476457399103916
R0-I1,oracle1,loss,4,0.15511491031390878
R0-I1,oracle1,loss,5,0.15547926008969312
R0-I1,oracle1,loss,6,0.1549747757847618
R0-I1,oracle1,loss,7,0.1555353139013534
R0-I1,oracle1,loss,8,0.15400784753363997
R0-I1,oracle1,loss,9,0.1566844170403665
R0-I1,oracle1,loss,10,0.15475056053812408
R0-I1,oracle1,loss,11,0.15595571748879622
R0-I1,oracle1,loss,12,0.1553531390134601
R0-I1,oracle1,loss,13,0.15682455156951378
R0-I1,oracle1,loss,14,0.15563340807175627
R0-I1,oracle1,loss,15,0.15575952914798905
R0-I1,oracle1,loss,16,0.1552410313901419
R0-I1,oracle1,loss,17,0.1553811659192902
R0-I1,oracle1,loss,18,0.15479260089686891
R0-I1,oracle1,loss,19,0.15444226457399948
R0-I1,oracle1,loss,20,0.15463845291480613
R0-I1,oracle1,loss,21,0.15585762331839323
R0-I1,oracle1,loss,22,0.15692264573991774
R0-I1,oracle1,loss,23,0.1548486547085278
R0-I1,oracle1,loss,24,0.15456838565023195
R0-I1,oracle1,loss,25,0.15717488789238385
R0-I1,oracle1,loss,26,0.1554932735426084
R0-I1,oracle1,loss,27,0.15435818385651026
R0-I1,oracle1,loss,28,0.15556334080718245
R0-I1,oracle1,loss,29,0.15525504484305727
R0-I1,oracle1,loss,30,0.1536294843049412
R0-I1,oracle1,loss,31,0.15459641255606116
R0-I1,oracle1,loss,32,0.1548906950672726
R0-I1,oracle1,loss,33,0.1564461883408142
R0-I1,oracle1,loss,34,0.15676849775785556
R0-I1,oracle1,loss,35,0.1559417040358817
R0-I1,oracle1,loss,36,0.15682455156951383
R0-I1,oracle1,loss,37,0.15570347533633083
R0-I1,oracle1,loss,38,0.15476457399103938
R0-I1,oracle1,loss,39,0.15493273542601682
R0-I1,oracle1,loss,40,0.1558155829596488
R0-I1,oracle1,loss,41,0.1547365470852092
R0-I1,oracle1,loss,42,0.15389573991032215
R0-I1,oracle1,loss,43,0.1562920403587522
R0-I1,oracle1,loss,44,0.1557455156950751
R0-I1,oracle1,loss,45,0.15554932735426807
R0-I1,oracle1,loss,46,0.15566143497758544
R0-I1,oracle1,loss,47,0.1535454035874525
R0-I1,oracle1,loss,48,0.15559136771301213
R0-I1,oracle1,loss,49,0.15465246636772118
R0-I1,oracle1,inversions,0,9.148682735426009
R0-I1,oracle1,inversions,1,9.15078475336323
R0-I1,oracle1,inversions,2,9.180773542600896
R0-I1,oracle1,inversions,3,9.207819506726457
R0-I1,oracle1,inversions,4,9.176569506726457
R0-I1,oracle1,inversions,5,9.298766816143498
R0-I1,oracle1,inversions,6,9.02634529147982
R0-I1,oracle1,inversions,7,9.197589686098654
R0-I1,oracle1,inversions,8,9.143217488789238
R0-I1,oracle1,inversions,9,9.407090807174887
R0-I1,oracle1,inversions,10,9.245936098654708
R0-I1,oracle1,inversions,11,9.275224215246636
R0-I1,oracle1,inversions,12,9.189742152466367
R0-I1,oracle1,inversions,13,9.310678251121077
R0-I1,oracle1,inversions,14,9.210482062780269
R0-I1,oracle1,inversions,15,9.201513452914797
R0-I1,oracle1,inversions,16,9.246636771300448
R0-I1,oracle1,inversions,17,9.148122197309418
R0-I1,oracle1,inversions,18,9.179512331838565
R0-I1,oracle1,inversions,19,9.26527466367713
R0-I1,oracle1,inversions,20,9.14377802690583
R0-I1,oracle1,inversions,21,9.212724215246636
R0-I1,oracle1,inversions,22,9.23822869955157
R0-I1,oracle1,inversions,23,9.195908071748878
R0-I1,oracle1,inversions,24,9.165078475336323
R0-I1,oracle1,inversions,25,9.230241031390134
R0-I1,oracle1,inversions,26,9.213985426008968
