scope,L,fraction,policy,metric,recall,random_mean,random_p975,advantage,exceeds_random_p975,candidate_recoverable_gap
shard1,16,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90028,0.8748308000000001,0.876021,0.02544919999999984,True,0.10207999999999999
shard1,16,0.5,GAP,"tie-aware recall, unchanged primary selections",0.90772,0.8977024000000001,0.899002,0.010017599999999849,True,0.10207999999999999
shard1,16,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92588,0.8977024000000001,0.899002,0.028177599999999914,True,0.10207999999999999
shard1,16,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92376,0.8977024000000001,0.899002,0.026057599999999903,True,0.10207999999999999
shard1,32,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86784,0.8622536000000001,0.86312,0.00558639999999988,True,0.10207999999999999
shard1,32,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87788,0.8622536000000001,0.86312,0.01562639999999993,True,0.10207999999999999
shard1,32,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87788,0.8622536000000001,0.86312,0.01562639999999993,True,0.10207999999999999
shard1,32,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88808,0.8774467999999999,0.878743,0.01063320000000012,True,0.10207999999999999
shard1,32,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.9078,0.8774467999999999,0.878743,0.03035320000000019,True,0.10207999999999999
shard1,32,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.9078,0.8774467999999999,0.878743,0.03035320000000019,True,0.10207999999999999
shard1,32,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91532,0.9029400000000001,0.904324,0.012379999999999947,True,0.10207999999999999
shard1,32,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93284,0.9029400000000001,0.904324,0.029899999999999927,True,0.10207999999999999
shard1,32,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.9328,0.9029400000000001,0.904324,0.029859999999999887,True,0.10207999999999999
shard1,64,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86788,0.8622596,0.863141,0.00562039999999997,True,0.10207999999999999
shard1,64,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87792,0.8622596,0.863141,0.01566040000000002,True,0.10207999999999999
shard1,64,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87792,0.8622596,0.863141,0.01566040000000002,True,0.10207999999999999
shard1,64,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88816,0.8774639999999999,0.878783,0.010696000000000039,True,0.10207999999999999
shard1,64,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90784,0.8774639999999999,0.878783,0.03037600000000007,True,0.10207999999999999
shard1,64,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90784,0.8774639999999999,0.878783,0.03037600000000007,True,0.10207999999999999
shard1,64,0.5,GAP,"tie-aware recall, unchanged primary selections",0.9154,0.9029784000000001,0.904383,0.012421599999999922,True,0.10207999999999999
shard1,64,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93288,0.9029784000000001,0.904383,0.029901599999999973,True,0.10207999999999999
shard1,64,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.93288,0.9029784000000001,0.904383,0.029901599999999973,True,0.10207999999999999
shard2,16,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86596,0.86189,0.86268,0.004069999999999907,True,0.10092000000000001
shard2,16,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87544,0.86189,0.86268,0.013549999999999951,True,0.10092000000000001
shard2,16,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87332,0.86189,0.86268,0.01142999999999994,True,0.10092000000000001
shard2,16,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88364,0.8755688,0.876861,0.008071199999999945,True,0.10092000000000001
shard2,16,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.9,0.8755688,0.876861,0.024431199999999986,True,0.10092000000000001
shard2,16,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.89968,0.8755688,0.876861,0.0241112,True,0.10092000000000001
shard2,16,0.5,GAP,"tie-aware recall, unchanged primary selections",0.90876,0.8983496,0.899981,0.010410400000000042,True,0.10092000000000001
shard2,16,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92504,0.8983496,0.899981,0.026690400000000003,True,0.10092000000000001
shard2,16,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92304,0.8983496,0.899981,0.0246904,True,0.10092000000000001
shard2,32,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86804,0.8628672000000002,0.86376,0.005172799999999866,True,0.10092000000000001
shard2,32,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87704,0.8628672000000002,0.86376,0.014172799999999874,True,0.10092000000000001
shard2,32,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87704,0.8628672000000002,0.86376,0.014172799999999874,True,0.10092000000000001
shard2,32,0.25,GAP,"tie-aware recall, unchanged primary selections",0.8882,0.8780416000000001,0.87932,0.0101583999999999,True,0.10092000000000001
shard2,32,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90624,0.8780416000000001,0.87932,0.028198399999999957,True,0.10092000000000001
shard2,32,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90624,0.8780416000000001,0.87932,0.028198399999999957,True,0.10092000000000001
shard2,32,0.5,GAP,"tie-aware recall, unchanged primary selections",0.91568,0.9032904,0.905103,0.0123896,True,0.10092000000000001
shard2,32,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.93124,0.9032904,0.905103,0.027949599999999908,True,0.10092000000000001
shard2,32,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.9312,0.9032904,0.905103,0.02790959999999998,True,0.10092000000000001
shard2,64,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86804,0.8628716000000002,0.86376,0.005168399999999851,True,0.10092000000000001
shard2,64,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87704,0.8628716000000002,0.86376,0.014168399999999859,True,0.10092000000000001
shard2,64,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87704,0.8628716000000002,0.86376,0.014168399999999859,True,0.10092000000000001
shard2,64,0.25,GAP,"tie-aware recall, unchanged primary selections",0.8882,0.8780516000000003,0.879341,0.010148399999999724,True,0.10092000000000001
shard2,64,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90624,0.8780516000000003,0.879341,0.02818839999999978,True,0.10092000000000001
shard2,64,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90624,0.8780516000000003,0.879341,0.02818839999999978,True,0.10092000000000001
