scope,descriptor,model,queries,realized_loss_spearman,mean_loss_spearman
all,oracle_recall,C1,10000,0.3194021123729404,0.4469885073804816
all,oracle_recall,C2,10000,0.3151573680957548,0.4469885073804816
all,oracle_recall,C3,10000,0.3199629418625944,0.4469885073804816
oracle1,d1,A1,7136,0.04423635261505341,0.0695155077987943
oracle1,d1,A2,7136,0.050900637331588325,0.0695155077987943
oracle1,d1,A3,7136,0.039666287078124224,0.0695155077987943
oracle1,d1,B1,7136,0.04954016780783571,0.0695155077987943
oracle1,d1,B2,7136,0.05413273527678009,0.0695155077987943
oracle1,d1,B3,7136,0.07297027604616527,0.0695155077987943
oracle1,d1,C1,7136,0.020142595928491953,0.0695155077987943
oracle1,d1,C2,7136,0.04844212287176126,0.0695155077987943
oracle1,d1,C3,7136,0.022432746783495487,0.0695155077987943
oracle1,dk,A1,7136,-0.030016630507295975,-0.048621572067508105
oracle1,dk,A2,7136,-0.019075944189011144,-0.048621572067508105
oracle1,dk,A3,7136,-0.038500001368932404,-0.048621572067508105
oracle1,dk,B1,7136,-0.024232567203551162,-0.048621572067508105
oracle1,dk,B2,7136,-0.025100196668872678,-0.048621572067508105
oracle1,dk,B3,7136,0.0005341358685885924,-0.048621572067508105
oracle1,dk,C1,7136,-0.05133096221781058,-0.048621572067508105
oracle1,dk,C2,7136,-0.03135112890819199,-0.048621572067508105
oracle1,dk,C3,7136,-0.05919403101760378,-0.048621572067508105
oracle1,dk_plus_1,A1,7136,-0.03994875816491419,-0.06361753021381424
oracle1,dk_plus_1,A2,7136,-0.029287802269121376,-0.06361753021381424
oracle1,dk_plus_1,A3,7136,-0.04889319288613212,-0.06361753021381424
oracle1,dk_plus_1,B1,7136,-0.03440403504041526,-0.06361753021381424
oracle1,dk_plus_1,B2,7136,-0.03543697577252158,-0.06361753021381424
oracle1,dk_plus_1,B3,7136,-0.009869847412712194,-0.06361753021381424
oracle1,dk_plus_1,C1,7136,-0.06138915072004187,-0.06361753021381424
oracle1,dk_plus_1,C2,7136,-0.041470609523641615,-0.06361753021381424
oracle1,dk_plus_1,C3,7136,-0.06969008712847874,-0.06361753021381424
oracle1,d20,A1,7136,-0.05979758747321851,-0.09275557195591011
oracle1,d20,A2,7136,-0.047840905275449014,-0.09275557195591011
oracle1,d20,A3,7136,-0.06687058570247058,-0.09275557195591011
oracle1,d20,B1,7136,-0.05279481561772589,-0.09275557195591011
oracle1,d20,B2,7136,-0.054686624704489706,-0.09275557195591011
oracle1,d20,B3,7136,-0.02843520605286607,-0.09275557195591011
oracle1,d20,C1,7136,-0.08036319535157276,-0.09275557195591011
oracle1,d20,C2,7136,-0.06194619581227743,-0.09275557195591011
oracle1,d20,C3,7136,-0.08854111091002334,-0.09275557195591011
oracle1,boundary_margin,A1,7136,-0.3149413520472811,-0.48094044089065446
oracle1,boundary_margin,A2,7136,-0.3096990444717787,-0.48094044089065446
oracle1,boundary_margin,A3,7136,-0.33377857080950346,-0.48094044089065446
oracle1,boundary_margin,B1,7136,-0.3227672466493788,-0.48094044089065446
oracle1,boundary_margin,B2,7136,-0.30909703733792177,-0.48094044089065446
oracle1,boundary_margin,B3,7136,-0.32049691733229624,-0.48094044089065446
oracle1,boundary_margin,C1,7136,-0.3025518936614495,-0.48094044089065446
oracle1,boundary_margin,C2,7136,-0.31210194421984755,-0.48094044089065446
oracle1,boundary_margin,C3,7136,-0.32013713710227293,-0.48094044089065446
oracle1,relative_boundary_margin,A1,7136,-0.3030539231187418,-0.4637737098160642
oracle1,relative_boundary_margin,A2,7136,-0.3041819758920946,-0.4637737098160642
oracle1,relative_boundary_margin,A3,7136,-0.31977630682418046,-0.4637737098160642
oracle1,relative_boundary_margin,B1,7136,-0.31477270614898306,-0.4637737098160642
oracle1,relative_boundary_margin,B2,7136,-0.29883929240014057,-0.4637737098160642
oracle1,relative_boundary_margin,B3,7136,-0.31546773427394265,-0.4637737098160642
oracle1,relative_boundary_margin,C1,7136,-0.2834249251415405,-0.4637737098160642
oracle1,relative_boundary_margin,C2,7136,-0.3018681888036807,-0.4637737098160642
oracle1,relative_boundary_margin,C3,7136,-0.2955601927866352,-0.4637737098160642
oracle1,boundary_gap_r1,A1,7136,-0.3149413520472811,-0.48094044089065446
oracle1,boundary_gap_r1,A2,7136,-0.3096990444717787,-0.48094044089065446
oracle1,boundary_gap_r1,A3,7136,-0.33377857080950346,-0.48094044089065446
oracle1,boundary_gap_r1,B1,7136,-0.3227672466493788,-0.48094044089065446
oracle1,boundary_gap_r1,B2,7136,-0.30909703733792177,-0.48094044089065446
oracle1,boundary_gap_r1,B3,7136,-0.32049691733229624,-0.48094044089065446
oracle1,boundary_gap_r1,C1,7136,-0.3025518936614495,-0.48094044089065446
oracle1,boundary_gap_r1,C2,7136,-0.31210194421984755,-0.48094044089065446
oracle1,boundary_gap_r1,C3,7136,-0.32013713710227293,-0.48094044089065446
oracle1,boundary_gap_r2,A1,7136,-0.42430487863109106,-0.6686495981238113
oracle1,boundary_gap_r2,A2,7136,-0.42150029849428533,-0.6686495981238113
oracle1,boundary_gap_r2,A3,7136,-0.4306754141210799,-0.6686495981238113
oracle1,boundary_gap_r2,B1,7136,-0.42861465662558024,-0.6686495981238113
oracle1,boundary_gap_r2,B2,7136,-0.435012641806861,-0.6686495981238113
oracle1,boundary_gap_r2,B3,7136,-0.42488673007794436,-0.6686495981238113
oracle1,boundary_gap_r2,C1,7136,-0.4311928294303258,-0.6686495981238113
