model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R2-I1,all,count_1pct,3,3648,4.0,11.0,4.880208333333333,0.13072916666666667,0.809484649122807
R2-I1,all,count_2pct,0,1091,1.0,2.0,1.7470210815765352,0.06049495875343722,0.5297891842346472
R2-I1,all,count_2pct,1,1347,3.0,3.0,3.0,0.07928730512249443,0.6466221232368226
R2-I1,all,count_2pct,2,3231,4.0,5.0,4.504178272980502,0.09894769421231817,0.7189724543484989
R2-I1,all,count_2pct,3,1452,6.0,6.0,6.0,0.11880165289256199,0.8064738292011019
R2-I1,all,count_2pct,4,2879,7.0,18.0,8.382424452935046,0.135012156998958,0.7999305314345259
R2-I1,all,count_5pct,0,1719,1.0,7.0,5.541593949970913,0.06887725421756835,0.5933682373472949
R2-I1,all,count_5pct,1,2229,8.0,10.0,9.082996859578286,0.09551368326603858,0.7137729923732615
R2-I1,all,count_5pct,2,1648,11.0,12.0,11.487257281553399,0.10983009708737865,0.7694174757281553
R2-I1,all,count_5pct,3,2029,13.0,15.0,13.913257762444553,0.12178413011335634,0.787087235091178
R2-I1,all,count_5pct,4,2375,16.0,36.0,19.06021052631579,0.12391578947368419,0.7452631578947368
R2-I1,oracle1,g10_11_pq,0,1427,0.0,87.0078125,38.88563012575552,0.15304835318850737,0.9103013314646111
R2-I1,oracle1,g10_11_pq,1,1427,87.373046875,223.060546875,150.8504565104623,0.13777154870357394,0.8808689558514365
R2-I1,oracle1,g10_11_pq,2,1428,223.14453125,411.3984375,310.0342904740021,0.12373949579831935,0.84593837535014
R2-I1,oracle1,g10_11_pq,3,1426,411.494140625,767.3671875,567.2985500854663,0.10610098176718093,0.7685834502103787
R2-I1,oracle1,g10_11_pq,4,1428,767.453125,6530.6953125,1370.0599101945465,0.07619047619047618,0.6057422969187675
R2-I1,oracle1,g9_12_pq,0,1427,16.76171875,617.59765625,401.8544431711797,0.17238962859145063,0.9418360196215837
