model,scope,queries,metric,observed,null_mean,null_std,null_median,null_p05,null_p95,observed_minus_null,null_over_observed
R3-I1,all,10000,harmful_fraction,0.7268,0.83386,0.0033505406204043567,0.83415,0.828225,0.8391099999999999,-0.10706000000000004,1.147303247110622
R3-I1,oracle1,7136,recall,0.8788116591928252,0.8407889573991001,0.0007412749230435497,0.8407791479820587,0.8396314461883387,0.8417909192825095,0.03802270179372513,0.9567339584130593
R3-I1,oracle1,7136,loss,0.1211883408071749,0.15921104260090357,0.0007412749230435799,0.1592208520179444,0.15820908071749565,0.16036855381166581,-0.03802270179372867,1.31374884366333
R3-I1,oracle1,7136,inversions,5.536995515695067,9.480866031390136,0.07064175013513331,9.480871636771301,9.353685538116592,9.59428951793722,-3.9438705156950684,1.7122762705001016
R3-I1,oracle1,7136,harmful_fraction,0.812920403587444,0.8989910313901345,0.0029768786507753226,0.8990330717488789,0.8939812219730942,0.9040849215246637,-0.08607062780269048,1.1058782968453713
R4-I1,all,10000,recall,0.8466400000000002,0.8105377999999815,0.0007992937954392788,0.810554999999982,0.8093124999999812,0.8118419999999812,0.036102200000018625,0.957358263252364
R4-I1,all,10000,loss,0.10651000000000001,0.14261220000000002,0.0007992937954396667,0.1425950000000006,0.14130800000000024,0.14383749999999956,-0.036102200000000015,1.3389559665759085
R4-I1,all,10000,inversions,6.0697,10.247756000000003,0.07539256218389881,10.25875,10.12631,10.353145,-4.178056000000002,1.6883463762624187
R4-I1,all,10000,harmful_fraction,0.7274,0.8344179999999999,0.003743112859312564,0.8336,0.828745,0.8411500000000001,-0.10701799999999984,1.1471240032994223
R4-I1,oracle1,7136,recall,0.8779568385650225,0.840305773542598,0.0008785736398128922,0.8402606502242116,0.8388859304932711,0.8416556894618807,0.037651065022424546,0.9571151298462879
R4-I1,oracle1,7136,loss,0.12204316143497759,0.15969422645740564,0.0008785736398130553,0.15973934977579107,0.15834431053812323,0.16111406950673263,-0.03765106502242804,1.3085061430704403
R4-I1,oracle1,7136,inversions,5.573430493273543,9.533859304932736,0.08122272788210728,9.5382567264574,9.405198991031389,9.646195347533633,-3.9604288116591935,1.7105908679472996
R4-I1,oracle1,7136,harmful_fraction,0.812079596412556,0.8993637892376681,0.0033520099505654887,0.8992432735426009,0.8937009529147982,0.9052970852017937,-0.08728419282511213,1.1074823123382227
