scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,d20,overall_mean_loss,4,999,52503.382382382384,0.11068401735068403
all,d20,overall_mean_loss,5,1001,57339.380619380616,0.1031768231768232
all,d20,overall_mean_loss,6,1000,62047.988,0.09684000000000001
all,d20,overall_mean_loss,7,1000,67306.13,0.09600666666666667
all,d20,overall_mean_loss,8,1000,73931.457,0.09006000000000002
all,d20,overall_mean_loss,9,1000,86839.98,0.07889333333333334
all,d20,harmful_rotation_frequency,0,1000,20494.517,0.8884000000000001
all,d20,harmful_rotation_frequency,1,1000,34074.952,0.8414
all,d20,harmful_rotation_frequency,2,1000,41462.541,0.821
all,d20,harmful_rotation_frequency,3,1000,47206.387,0.7904000000000001
all,d20,harmful_rotation_frequency,4,999,52503.382382382384,0.8006006006006006
all,d20,harmful_rotation_frequency,5,1001,57339.380619380616,0.7578421578421579
all,d20,harmful_rotation_frequency,6,1000,62047.988,0.7332000000000001
all,d20,harmful_rotation_frequency,7,1000,67306.13,0.7082
all,d20,harmful_rotation_frequency,8,1000,73931.457,0.686
all,d20,harmful_rotation_frequency,9,1000,86839.98,0.602
all,d20,within_rotation_initialization_variance,0,1000,20494.517,0.0033924444444444445
all,d20,within_rotation_initialization_variance,1,1000,34074.952,0.0030795555555555554
all,d20,within_rotation_initialization_variance,2,1000,41462.541,0.0029728888888888895
all,d20,within_rotation_initialization_variance,3,1000,47206.387,0.0028871111111111116
all,d20,within_rotation_initialization_variance,4,999,52503.382382382384,0.003006117228339451
all,d20,within_rotation_initialization_variance,5,1001,57339.380619380616,0.0029002109002109005
all,d20,within_rotation_initialization_variance,6,1000,62047.988,0.0027080000000000003
all,d20,within_rotation_initialization_variance,7,1000,67306.13,0.002779111111111111
all,d20,within_rotation_initialization_variance,8,1000,73931.457,0.0026128888888888894
all,d20,within_rotation_initialization_variance,9,1000,86839.98,0.002331555555555556
all,d20,between_rotation_variance,0,1000,20494.517,0.0017190222222222221
all,d20,between_rotation_variance,1,1000,34074.952,0.0014744888888888889
all,d20,between_rotation_variance,2,1000,41462.541,0.0014188444444444444
all,d20,between_rotation_variance,3,1000,47206.387,0.0014485333333333337
all,d20,between_rotation_variance,4,999,52503.382382382384,0.0015305082860638418
all,d20,between_rotation_variance,5,1001,57339.380619380616,0.0014791430791430793
all,d20,between_rotation_variance,6,1000,62047.988,0.0013263111111111111
all,d20,between_rotation_variance,7,1000,67306.13,0.0013578666666666669
all,d20,between_rotation_variance,8,1000,73931.457,0.0013531555555555558
all,d20,between_rotation_variance,9,1000,86839.98,0.0012220444444444444
all,boundary_margin,overall_mean_loss,0,990,16.47979797979798,0.12572390572390574
all,boundary_margin,overall_mean_loss,1,999,64.89689689689689,0.12817484150817485
all,boundary_margin,overall_mean_loss,2,1003,120.86739780658026,0.12483881688268528
all,boundary_margin,overall_mean_loss,3,1006,187.31908548707753,0.11763419483101394
all,boundary_margin,overall_mean_loss,4,995,264.30452261306533,0.1136214405360134
all,boundary_margin,overall_mean_loss,5,999,359.40840840840843,0.10819486152819487
all,boundary_margin,overall_mean_loss,6,1006,479.9900596421471,0.10192842942345927
all,boundary_margin,overall_mean_loss,7,999,645.2632632632633,0.09461461461461462
all,boundary_margin,overall_mean_loss,8,1003,917.2313060817547,0.08217347956131607
all,boundary_margin,overall_mean_loss,9,1000,1761.07,0.053733333333333334
all,boundary_margin,harmful_rotation_frequency,0,990,16.47979797979798,0.8212121212121212
all,boundary_margin,harmful_rotation_frequency,1,999,64.89689689689689,0.8558558558558559
all,boundary_margin,harmful_rotation_frequency,2,1003,120.86739780658026,0.8360917248255234
all,boundary_margin,harmful_rotation_frequency,3,1006,187.31908548707753,0.8077534791252484
all,boundary_margin,harmful_rotation_frequency,4,995,264.30452261306533,0.8231155778894472
all,boundary_margin,harmful_rotation_frequency,5,999,359.40840840840843,0.8062062062062063
all,boundary_margin,harmful_rotation_frequency,6,1006,479.9900596421471,0.790258449304175
all,boundary_margin,harmful_rotation_frequency,7,999,645.2632632632633,0.746946946946947
all,boundary_margin,harmful_rotation_frequency,8,1003,917.2313060817547,0.6859421734795613
all,boundary_margin,harmful_rotation_frequency,9,1000,1761.07,0.45620000000000005
all,boundary_margin,within_rotation_initialization_variance,0,990,16.47979797979798,0.003277216610549944
all,boundary_margin,within_rotation_initialization_variance,1,999,64.89689689689689,0.0032281170058947838
all,boundary_margin,within_rotation_initialization_variance,2,1003,120.86739780658026,0.003150105239836047
all,boundary_margin,within_rotation_initialization_variance,3,1006,187.31908548707753,0.0031433620499226864
all,boundary_margin,within_rotation_initialization_variance,4,995,264.30452261306533,0.0029989949748743723
all,boundary_margin,within_rotation_initialization_variance,5,999,359.40840840840843,0.002844622400177956
all,boundary_margin,within_rotation_initialization_variance,6,1006,479.9900596421471,0.0028561961563949643
all,boundary_margin,within_rotation_initialization_variance,7,999,645.2632632632633,0.0027191636080524974
all,boundary_margin,within_rotation_initialization_variance,8,1003,917.2313060817547,0.0025279716406336555
all,boundary_margin,within_rotation_initialization_variance,9,1000,1761.07,0.0019275555555555558
all,boundary_margin,between_rotation_variance,0,990,16.47979797979798,0.0015920089786756455
all,boundary_margin,between_rotation_variance,1,999,64.89689689689689,0.0015546212879546215
all,boundary_margin,between_rotation_variance,2,1003,120.86739780658026,0.0015616262324138696
all,boundary_margin,between_rotation_variance,3,1006,187.31908548707753,0.001646476695383256
all,boundary_margin,between_rotation_variance,4,995,264.30452261306533,0.0015175432719151314
all,boundary_margin,between_rotation_variance,5,999,359.40840840840843,0.0014576354131909687
all,boundary_margin,between_rotation_variance,6,1006,479.9900596421471,0.001398718798321184
all,boundary_margin,between_rotation_variance,7,999,645.2632632632633,0.0013882326771215664
all,boundary_margin,between_rotation_variance,8,1003,917.2313060817547,0.0012643846239060598
all,boundary_margin,between_rotation_variance,9,1000,1761.07,0.0009497777777777779
all,relative_boundary_margin,overall_mean_loss,0,1000,0.0003672422282549991,0.11744000000000002
all,relative_boundary_margin,overall_mean_loss,1,1000,0.0014392132925435271,0.1220066666666667
all,relative_boundary_margin,overall_mean_loss,2,1000,0.0026426771286504397,0.11825333333333336
all,relative_boundary_margin,overall_mean_loss,3,1000,0.004038555311424545,0.11661333333333335
all,relative_boundary_margin,overall_mean_loss,4,1000,0.0056685650856067625,0.11370666666666668
all,relative_boundary_margin,overall_mean_loss,5,1000,0.007738833167126009,0.11129333333333336
all,relative_boundary_margin,overall_mean_loss,6,1000,0.010243564800408158,0.10602000000000002
all,relative_boundary_margin,overall_mean_loss,7,1000,0.013725590861628334,0.09632666666666669
