scope,L,fraction,policy,selected_queries,recall,recall_gain,exact_distance_evals_per_query,recovery_fraction,recall_gain_per_exact_eval,random_mean_recall,random_recall_p025,random_recall_p975,gap_vs_random_recall,recovery_vs_random,selector_efficiency,exceeds_random_p975,random_std
shard1,32,0.1,RANDOM,250,0.862126,0.010125999999999968,3.2,0.09966535433070835,0.00316437499999999,0.862126,0.8611329999999999,0.863021,,,,,0.0004915241190378803
shard1,32,0.25,GAP,625,0.8877999999999999,0.0358,8.0,0.35236220472440943,0.004475,0.8772572000000001,0.875478,0.878543,0.010542799999999852,0.10376771653543163,0.3465427245355424,True,
shard1,32,0.25,ORACLE-QUERY,625,0.9076799999999999,0.05568,8.0,0.5480314960629922,0.00696,0.8772572000000001,0.875478,0.878543,0.03042279999999986,0.2994370078740144,1.0,True,
shard1,32,0.25,FULL-LOSS-SELECTOR,625,0.9076799999999999,0.05568,8.0,0.5480314960629922,0.00696,0.8772572000000001,0.875478,0.878543,0.03042279999999986,0.2994370078740144,1.0,True,
shard1,32,0.25,RANDOM,625,0.8772572000000001,0.02525720000000009,8.0,0.24859448818897728,0.0031571500000000113,0.8772572000000001,0.875478,0.878543,,,,,0.0007548524238671975
shard1,32,0.5,GAP,1250,0.91488,0.06288,16.0,0.6188976377952756,0.00393,0.9026295999999999,0.900792,0.904048,0.012250400000000106,0.12057480314960735,0.40766179485131954,True,
shard1,32,0.5,ORACLE-QUERY,1250,0.93268,0.08068,16.0,0.7940944881889764,0.0050425,0.9026295999999999,0.900792,0.904048,0.030050400000000033,0.2957716535433074,1.0,True,
shard1,32,0.5,FULL-LOSS-SELECTOR,1250,0.93264,0.08064,16.0,0.7937007874015749,0.00504,0.9026295999999999,0.900792,0.904048,0.030010400000000104,0.29537795275590656,0.9986689029097806,True,
shard1,32,0.5,RANDOM,1250,0.9026295999999999,0.05062959999999994,16.0,0.49832283464566873,0.0031643499999999963,0.9026295999999999,0.900792,0.904048,,,,,0.0008395981722878389
shard1,64,0.1,GAP,250,0.86768,0.01568,6.4,0.15433070866141732,0.00245,0.8621319999999999,0.8611329999999999,0.863021,0.005548000000000108,0.0546062992125995,0.3531958237840647,True,
