policy,replicate,component,mean_us,fraction_of_total
ALL16,0,t_gap,3.063472705585181,0.016553863333947334
ALL16,0,t_refine,2.1611208953129384,0.011677890873297207
ALL16,0,t_final_selection,0.40912784170642713,0.00221077418622776
ALL16,1,t_search,179.04789292730848,0.9694114426929227
ALL16,1,t_gap,3.0513445832163906,0.016520766071064324
ALL16,1,t_refine,2.1973059219758633,0.011896780626874616
ALL16,1,t_final_selection,0.4009802834689868,0.0021710106091385375
ALL16,2,t_search,178.96118678080268,0.9694204484605028
ALL16,2,t_gap,3.0468788240246982,0.016504733172163333
ALL16,2,t_refine,2.1962119702497898,0.011896729293160123
ALL16,2,t_final_selection,0.40208911030030875,0.002178089074173615
ALL16,3,t_search,178.8840594302554,0.9694703542299786
ALL16,3,t_gap,3.0533223407241086,0.016547620289186337
ALL16,3,t_refine,2.178236177378613,0.011805050741836152
ALL16,3,t_final_selection,0.40168951726073526,0.002176974738998845
ALL16,4,t_search,178.308817218636,0.9695445487984247
ALL16,4,t_gap,3.067135279259052,0.01667738217783516
ALL16,4,t_refine,2.1367674010665167,0.011618557164304353
ALL16,4,t_final_selection,0.39715555711479095,0.00215951185943598
ALL16,5,t_search,178.5578858405838,0.9695802547727128
ALL16,5,t_gap,3.057692323884367,0.016603456567889883
ALL16,5,t_refine,2.1462167415099636,0.01165408833798885
ALL16,5,t_final_selection,0.39819078024136967,0.002162200321408724
ALL16,6,t_search,177.8463537749088,0.9694742457816456
ALL16,6,t_gap,3.054389489194499,0.01665005710551707
ALL16,6,t_refine,2.1477546309289925,0.011707818331655248
ALL16,6,t_final_selection,0.39768909626719057,0.002167878781182038
