model,scope,condition,metric,queries,mean,std,median,p05,p95
R2-I1,all,N0,loss,10000,0.1430091,0.0007112062523159734,0.14302,0.1420595,0.144111
R2-I1,all,N0,recall,10000,0.8101408999999998,0.0007112062523159728,0.81013,0.809039,0.8110904999999999
R2-I1,all,N0,inversions,10000,10.286604,0.08061255375077901,10.2723,10.171335000000001,10.416155
R2-I1,all,N0,agreement,10000,0.8336880000000001,0.0007408948997835352,0.8337300000000001,0.832395,0.8346205
R2-I1,all,N0,harmful_fraction,10000,0.836044,0.003374004005673832,0.83605,0.830765,0.8414
R2-I1,all,N1,loss,10000,0.15249460000000004,0.0006159076737841985,0.152545,0.15145650000000002,0.1535315
R2-I1,all,N1,recall,10000,0.8006554,0.0006159076737841983,0.800605,0.7996185,0.8016935000000001
R2-I1,all,N1,inversions,10000,10.729421,0.05908917810129762,10.7257,10.629779999999998,10.82328
R2-I1,all,N1,agreement,10000,0.8204739999999999,0.0007175871467155114,0.820445,0.8192685000000001,0.821465
R2-I1,all,N1,harmful_fraction,10000,0.8496029999999999,0.0027509210578761894,0.8496,0.84509,0.853925
R2-I1,all,N2,loss,10000,0.11575609999999999,0.00044378968310257395,0.11568,0.11509499999999999,0.116484
R2-I1,all,N2,recall,10000,0.8373938999999999,0.00044378968310257395,0.83747,0.836666,0.838055
R2-I1,all,N2,inversions,10000,7.464565,0.029972861041113522,7.4659,7.415045,7.513495
R2-I1,all,N2,agreement,10000,0.8613219999999998,0.00046050916046120867,0.8613850000000001,0.8606665,0.8619205
R2-I1,all,N2,harmful_fraction,10000,0.7552990000000002,0.0029888511694514544,0.75585,0.75088,0.7592099999999999
R2-I1,all,N3,loss,10000,0.10676889999999999,0.0005042043336793228,0.106705,0.106098,0.107691
R2-I1,all,N3,recall,10000,0.8463810999999999,0.0005042043336793262,0.846445,0.845459,0.8470519999999999
R2-I1,all,N3,inversions,10000,6.2905679999999995,0.024885681575451124,6.289999999999999,6.250495,6.32941
R2-I1,all,N3,agreement,10000,0.8718537999999998,0.0005365598990350671,0.871885,0.870923,0.8726284999999999
R2-I1,all,N3,harmful_fraction,10000,0.7304639999999999,0.003185621738151892,0.73025,0.72529,0.73581
R2-I1,all,N4,loss,10000,0.1062218,0.0003715932934776622,0.10619500000000001,0.105599,0.106882
R2-I1,all,N4,recall,10000,0.8469282000000001,0.0003715932934776617,0.846955,0.846268,0.847551
R2-I1,all,N4,inversions,10000,6.2850850000000005,0.018758391388249324,6.284050000000001,6.25851,6.31155
R2-I1,all,N4,agreement,10000,0.8722747,0.0003566042284628403,0.8722700000000001,0.871729,0.872813
R2-I1,all,N4,harmful_fraction,10000,0.7258009999999999,0.002364616910053953,0.7259,0.7221,0.7299
R2-I1,all,N_distance,loss,10000,0.11950699999999999,0.0006573339172657061,0.11957999999999999,0.1183595,0.1206305
R2-I1,all,N_distance,recall,10000,0.833643,0.0006573339172657052,0.83357,0.8325195000000001,0.8347905
R2-I1,all,N_distance,inversions,10000,7.465701,0.05700941884788629,7.469250000000001,7.377465000000001,7.5537849999999995
R2-I1,all,N_distance,agreement,10000,0.8587283000000001,0.0006830857718597068,0.85867,0.85777,0.8599635
R2-I1,all,N_distance,harmful_fraction,10000,0.7755610000000001,0.003146583685346522,0.7755,0.7705,0.78032
R2-I1,oracle1,observed,loss,7136,0.11936659192825116,2.7895403077993544e-17,0.11936659192825114,0.11936659192825114,0.11936659192825114
R2-I1,oracle1,observed,recall,7136,0.8806334080717488,1.1158161231197418e-16,0.880633408071749,0.880633408071749,0.880633408071749
R2-I1,oracle1,observed,inversions,7136,5.4964966367713,0.0,5.4964966367713,5.4964966367713,5.4964966367713
R2-I1,oracle1,observed,agreement,7136,0.8806334080717488,1.1158161231197418e-16,0.880633408071749,0.880633408071749,0.880633408071749
R2-I1,oracle1,observed,harmful_fraction,7136,0.8022701793721975,1.1158161231197418e-16,0.8022701793721974,0.8022701793721974,0.8022701793721974
R2-I1,oracle1,N0,loss,7136,0.1600267656950673,0.0008314565111129868,0.16005465246636771,0.1588116591928251,0.1615905269058296
R2-I1,oracle1,N0,recall,7136,0.8399732343049329,0.0008314565111129891,0.8399453475336323,0.8384094730941704,0.8411883408071749
R2-I1,oracle1,N0,inversions,7136,9.576219170403588,0.08994871522167572,9.558576233183857,9.439454876681614,9.724075112107624
R2-I1,oracle1,N0,agreement,7136,0.8399732343049329,0.0008314565111129891,0.8399453475336323,0.8384094730941704,0.8411883408071749
R2-I1,oracle1,N0,harmful_fraction,7136,0.9001947869955157,0.003304101044041228,0.9001541479820627,0.8946118273542601,0.9051359304932736
R2-I1,oracle1,N1,loss,7136,0.17278237107623315,0.0007579662980975169,0.17279988789237669,0.17162135650224217,0.1740204596412556
R2-I1,oracle1,N1,recall,7136,0.8272176289237669,0.0007579662980975154,0.8272001121076233,0.8259795403587444,0.8283786434977578
R2-I1,oracle1,N1,inversions,7136,9.965182174887891,0.07045992373574621,9.955156950672645,9.856299047085201,10.095571748878925
R2-I1,oracle1,N1,agreement,7136,0.8272176289237669,0.0007579662980975154,0.8272001121076233,0.8259795403587444,0.8283786434977578
R2-I1,oracle1,N1,harmful_fraction,7136,0.9212696188340809,0.0028090093308744024,0.92152466367713,0.9169002242152466,0.9258758408071749
R2-I1,oracle1,N2,loss,7136,0.13106950672645742,0.0005749615040580399,0.13105381165919283,0.13017867152466367,0.1319401625560538
R2-I1,oracle1,N2,recall,7136,0.8689304932735424,0.0005749615040580425,0.8689461883408072,0.8680598374439461,0.8698213284753363
R2-I1,oracle1,N2,inversions,7136,6.701959080717492,0.0378726909838623,6.70277466367713,6.637394899103139,6.756740470852018
R2-I1,oracle1,N2,agreement,7136,0.8689304932735424,0.0005749615040580425,0.8689461883408072,0.8680598374439461,0.8698213284753363
R2-I1,oracle1,N2,harmful_fraction,7136,0.8323738789237669,0.00349354742117769,0.8324691704035874,0.8269058295964126,0.8375910874439462
R2-I1,oracle1,N3,loss,7136,0.12155451233183856,0.0005775341758140131,0.12153867713004485,0.12058225896860987,0.12250840807174888
R2-I1,oracle1,N3,recall,7136,0.8784454876681613,0.0005775341758140185,0.8784613228699552,0.8774915919282511,0.8794177410313901
R2-I1,oracle1,N3,inversions,7136,5.672535033632287,0.023876775291268335,5.6744674887892375,5.634515134529148,5.711231782511211
R2-I1,oracle1,N3,agreement,7136,0.8784454876681613,0.0005775341758140185,0.8784613228699552,0.8774915919282511,0.8794177410313901
R2-I1,oracle1,N3,harmful_fraction,7136,0.8112135650224214,0.0031571766238475455,0.8108884529147982,0.8065933295964125,0.8167110426008969
R2-I1,oracle1,N4,loss,7136,0.12088424887892377,0.0004255271466611089,0.12092208520179372,0.12020669843049328,0.12156740470852018
R2-I1,oracle1,N4,recall,7136,0.8791157511210763,0.00042552714666110674,0.8790779147982063,0.8784325952914798,0.8797933015695067
R2-I1,oracle1,N4,inversions,7136,5.654789798206278,0.020792419922067342,5.655198991031391,5.622015134529148,5.6896580717488785
R2-I1,oracle1,N4,agreement,7136,0.8791157511210763,0.00042552714666110674,0.8790779147982063,0.8784325952914798,0.8797933015695067
R2-I1,oracle1,N4,harmful_fraction,7136,0.8058856502242153,0.0024558803651133247,0.8059136771300448,0.8015695067264574,0.8094240470852018
R2-I1,oracle1,N_distance,loss,7136,0.1352788677130045,0.0008292133260705201,0.13528587443946188,0.13397631726457399,0.1364819226457399
R2-I1,oracle1,N_distance,recall,7136,0.8647211322869954,0.0008292133260705168,0.8647141255605382,0.86351807735426,0.8660236827354261
R2-I1,oracle1,N_distance,inversions,7136,6.8748444506726445,0.05895909017714203,6.878923766816143,6.787443946188341,6.965176569506727
R2-I1,oracle1,N_distance,agreement,7136,0.8647211322869954,0.0008292133260705168,0.8647141255605382,0.86351807735426,0.8660236827354261
