model,group,count,signed_mean,mae,std,variance,abs_p50,abs_p90,abs_p95,distance_min,distance_max,distance_mean
R0-I1,pooled_distance_quantile_4,1035212,112.23358630285391,1209.2997902694085,1539.8007678722502,2370986.4047399713,997.12109375,2513.734375,3046.59375,70166.0,77806.0,74045.2269332272
R0-I1,pooled_distance_quantile_5,1035391,120.8569575067233,1285.9904389719982,1637.2268194608528,2680511.6583619,1061.453125,2670.109375,3238.48046875,77807.0,85049.0,81439.4697974002
R0-I1,pooled_distance_quantile_6,1035306,134.02512398055504,1358.655260460132,1729.406635216282,2990847.309930102,1120.87890625,2821.65234375,3420.044921875,85050.0,92403.0,88696.07551100834
R0-I1,pooled_distance_quantile_7,1035278,139.75209196527408,1431.9407054946835,1823.2613074322696,3324281.795179629,1181.26953125,2974.8515625,3607.1664062499985,92404.0,100401.0,96316.9905841716
R0-I1,pooled_distance_quantile_8,1035250,149.40046213173147,1518.3971993932626,1933.6822198613168,3739126.9274077895,1252.9765625,3151.80546875,3821.641406249999,100402.0,109950.0,104982.62373629559
R0-I1,pooled_distance_quantile_9,1035382,150.23787069802498,1625.305160098821,2074.784283424068,4304729.822743522,1338.6875,3374.2789062500005,4096.054296875,109951.0,123642.0,116224.07811223298
R0-I1,pooled_distance_quantile_10,1035339,95.18778521002541,1848.075648931473,2384.2056448866765,5684436.557109493,1511.328125,3837.0625,4673.4859375,123643.0,365484.0,139658.15859346552
R1-I1,rank_1,10000,570.7052796875,1037.6014607421876,1165.6528846250155,1358746.6474346197,881.107421875,2116.83828125,2534.8443359374996,,,
R1-I1,rank_2,10000,507.8108043823242,1038.309753503418,1209.3475384715873,1462521.4688072875,880.05859375,2135.23583984375,2564.5039062499977,,,
R1-I1,rank_3,10000,479.51479111328126,1047.8750497070312,1234.0952831619534,1522991.1679225818,878.205078125,2157.5144531250003,2589.465527343748,,,
R1-I1,rank_4,10000,440.9892568969727,1045.7734842407226,1249.6924291016553,1561731.1673539958,875.18359375,2149.174609375,2619.8111328124996,,,
R1-I1,rank_5,10000,460.8125191772461,1075.2610485717773,1280.4037979663053,1639433.885846539,896.5654296875,2204.2156250000003,2697.79912109375,,,
R1-I1,rank_6,10000,440.01013422851565,1055.3833213378907,1269.5618448531748,1611787.2779069967,873.330078125,2174.21953125,2657.5830078124995,,,
R1-I1,rank_7,10000,426.5475040283203,1064.8009419189452,1281.361334408336,1641886.8693167113,881.288818359375,2226.2214843750007,2683.6077148437494,,,
R1-I1,rank_8,10000,408.7986946777344,1084.178428076172,1312.2222460257851,1721927.2229649562,903.0546875,2231.0632812500003,2729.6751953124995,,,
R1-I1,rank_9,10000,434.95851417236327,1094.7838783325196,1319.227977804161,1740362.4574212555,904.681640625,2258.234375,2727.8896484375,,,
