replicate_id,rho,ef_search,mean_recall_exact_native,mean_recall_pq_native,mean_recall_pq_L0_oracle,rerank_recovery,mean_coverage_exact_L0,mean_coverage_pq_L0,mean_evaluated_L0_jaccard,mean_exact_L0_unique_distance_evaluations,mean_pq_L0_unique_distance_evaluations,mean_exact_upper_only_unique_distance_evaluations,mean_pq_upper_only_unique_distance_evaluations,fraction_ground_truth_spans_multiple_components,max_absolute_delta_exact_control,mean_delta_total,median_delta_total,p90_delta_total,p95_delta_total,p99_delta_total,mean_delta_discovery,median_delta_discovery,p90_delta_discovery,p95_delta_discovery,p99_delta_discovery,mean_delta_ranking,median_delta_ranking,p90_delta_ranking,p95_delta_ranking,p99_delta_ranking,fraction_delta_discovery_positive,fraction_delta_discovery_zero,fraction_delta_discovery_negative,pq_mean_absolute_distance_error,pq_median_absolute_distance_error,pq_p95_absolute_distance_error,pq_mean_absolute_relative_distance_error,pq_median_absolute_relative_distance_error,pq_pairwise_strict_inversion_rate,pq_pairwise_tie_rate,mean_delta_discovery_lowest_cluster_margin_quartile,mean_delta_discovery_other_cluster_margin_quartiles,mean_delta_discovery_lowest_nn_margin_quartile,mean_delta_discovery_other_nn_margin_quartiles
2,0.1,256,0.9723999999999999,0.8292,0.9738,1.0097765363128497,0.9723999999999999,0.9738,0.8528086790216988,4188.68,4186.62,26.88,26.548,1.0,0,0.1432,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.0014,0.0,0.0,0.0,0.09999999999999998,0.1446,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.032,0.928,0.04,2.1160815937042234,1.6381034851074219,5.615678405761712,0.016568065221997778,0.013303698971867561,0.0433,0.0,-0.0023999999999999994,-0.0010666666666666667,-0.003999999999999999,-0.0005333333333333335
2,0.25,256,0.9954,0.8432000000000001,0.9947999999999999,0.996057818659658,0.9954,0.9947999999999999,0.8801452331144651,2799.138,2782.572,28.468,28.288,0.492,0,0.1522,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0005999999999999998,0.0,0.0,0.0,0.09999999999999998,0.15159999999999998,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.012,0.982,0.006,2.0422202487945555,1.6285057067871094,5.360843276977538,0.01616962332765197,0.013266548048704863,0.0387,0.0,0.0023999999999999994,0.0,-0.0007999999999999998,0.0010666666666666665
2,0.5,256,1.0,0.8264,1.0,1.0,1.0,1.0,0.9684202653336405,1197.56,1196.114,26.254,26.136,0.0,0,0.1736,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,0.0,0.0,0.0,0.0,0.0,0.1736,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,0.0,1.0,0.0,1.9489974117279052,1.5518112182617188,5.047046661376952,0.015816746834595007,0.01288670115172863,0.0394,0.0,0.0,0.0,0.0,0.0
2,0.75,256,1.0,0.7732,1.0,1.0,1.0,1.0,0.9688770370117352,1173.022,1173.414,22.528,22.542,0.0,0,0.22679999999999997,0.19999999999999996,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.22679999999999997,0.19999999999999996,0.4,0.4,0.5,0.0,1.0,0.0,1.6526316091537476,1.321685791015625,4.309362792968747,0.013995301201850361,0.011401541531085968,0.0364,0.0,0.0,0.0,0.0,0.0
2,0.9,256,1.0,0.7066,0.9997999999999999,0.9993183367416493,1.0,0.9997999999999999,0.9619469160194861,1168.67,1165.046,22.922,23.046,0.0,0,0.2934,0.30000000000000004,0.4,0.5,0.6,0.00019999999999999996,0.0,0.0,0.0,0.0,0.2932,0.30000000000000004,0.4,0.5,0.6,0.002,0.998,0.0,1.2966893528461456,1.0547294616699219,3.308336639404295,0.011978814147761677,0.009308460634201765,0.0359,0.0,0.0,0.0002666666666666666,0.0,0.0002666666666666666
3,0,256,0.9673999999999999,0.8326,0.9686,1.008902077151336,0.9673999999999999,0.9686,0.8524762876605017,4219.764,4220.47,28.688,27.958,1.0,0,0.13479999999999998,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,-0.0011999999999999995,0.0,0.0,0.0,0.09999999999999998,0.136,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.036,0.916,0.048,2.172586092758179,1.7059745788574219,5.72778205871582,0.01672262140441352,0.013571285177022219,0.0422,0.0,-0.0011999999999999995,,-0.000799999999999999,-0.001333333333333333
3,0.1,256,0.9732000000000001,0.8302,0.9733999999999999,1.0013986013986005,0.9732000000000001,0.9733999999999999,0.8541867464637836,4177.44,4179.85,26.186,26.322,0.996,0,0.143,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.00020000000000000017,0.0,0.0,0.0,0.09999999999999998,0.1432,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.04,0.918,0.042,2.1480084758758546,1.6938095092773438,5.775214004516595,0.016636681398088833,0.013550790958106518,0.042,0.0,-8.881784197001253e-19,-0.0002666666666666666,0.0031999999999999993,-0.0013333333333333333
3,0.25,256,0.9962000000000001,0.841,0.9966,1.0025773195876286,0.9962000000000001,0.9966,0.8821040538348702,2813.116,2794.91,27.874,27.054,0.468,0,0.15519999999999998,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.00040000000000000013,0.0,0.0,0.0,0.0,0.1556,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.004,0.99,0.006,2.1054072418212892,1.6743392944335938,5.528137207031243,0.016485367611821313,0.013386503793299198,0.0407,0.0,-0.0008000000000000007,-0.0002666666666666666,-0.0007999999999999998,-0.0002666666666666669
3,0.5,256,0.9996,0.8336,0.9997999999999999,1.0012048192771077,0.9996,0.9997999999999999,0.9698681325730658,1191.0,1192.106,24.41,24.642,0.0,0,0.16599999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,-0.00019999999999999996,0.0,0.0,0.0,0.0,0.1662,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,0.0,0.998,0.002,1.9435056797027588,1.5444145202636719,5.0371604919433555,0.0156572690833416,0.012765499297529459,0.0389,0.0,-0.0007999999999999998,0.0,0.0,-0.0002666666666666666
3,0.75,256,0.9994,0.7918,0.9994,1.0,0.9994,0.9994,0.9704277591866971,1171.044,1170.678,21.168,20.91,0.0,0,0.2076,0.19999999999999996,0.30000000000000004,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.2076,0.19999999999999996,0.30000000000000004,0.4,0.5,0.0,1.0,0.0,1.6893469408035278,1.3628158569335938,4.364308929443357,0.014217330630338261,0.011774406302720308,0.0356,0.0,0.0,0.0,0.0,0.0
