model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R3-I1,all,N4,loss,0.10589000000000001,0.1422951,0.10713670000000003,0.036405099999999996,0.9657547980914757,0,0.9657473740053806,0.010099731771565496,0.9660931236370102,0.949759556420679,0.9821867067625789
R3-I1,all,N_distance,loss,0.10589000000000001,0.1422951,0.11911490000000002,0.036405099999999996,0.6367294692227184,0,0.6365911155410557,0.022578598871165444,0.6372481241300348,0.5974379312931295,0.675119421879055
R3-I1,all,N0,inversions,6.0736,10.20687,10.20687,4.13327,0.0,0,0.0,0.0,0.0,0.0,0.0
R3-I1,all,N1,inversions,6.0736,10.20687,10.607166000000001,4.13327,-0.09684729040203055,0,-0.09712771038851484,0.022226000750702447,-0.09641334383652699,-0.13277514905015964,-0.06425581528691461
R3-I1,all,N2,inversions,6.0736,10.20687,7.394679999999999,4.13327,0.6803789735487884,0,0.680283423822697,0.010216236085029456,0.6781777044801756,0.664611318852728,0.6969786913419296
R3-I1,all,N3,inversions,6.0736,10.20687,6.263118,4.13327,0.9541481683993543,0,0.9541447444054509,0.0053364401934151715,0.9543356277778319,0.9459212988017406,0.9624742109304077
R3-I1,all,N4,inversions,6.0736,10.20687,6.233093999999999,4.13327,0.9614121506700509,0,0.9613911476850727,0.004291238368790701,0.9609450951693114,0.955547071233473,0.9686350175903282
R3-I1,all,N_distance,inversions,6.0736,10.20687,7.392205000000001,4.13327,0.6809777730465224,0,0.6808829828641509,0.015497002784837772,0.6800600894940351,0.6569921195286631,0.7090304710578897
R3-I1,oracle1,N0,loss,0.1211883408071749,0.15936491031390138,0.15936491031390138,0.038176569506726474,0.0,0,0.0,0.0,0.0,0.0,0.0
R3-I1,oracle1,N1,loss,0.1211883408071749,0.15936491031390138,0.17205016816143495,0.038176569506726474,-0.33227862040612405,0,-0.3328461154103844,0.0347298010838951,-0.33147790825841666,-0.3933244940430815,-0.27495064657813445
R3-I1,oracle1,N2,loss,0.1211883408071749,0.15936491031390138,0.13133352017937217,0.038176569506726474,0.7342563906793735,0,0.7341763429637774,0.016320185681317656,0.7339297787632229,0.7072913904139145,0.7607214525172816
R3-I1,oracle1,N3,loss,0.1211883408071749,0.15936491031390138,0.12246720852017937,0.038176569506726474,0.9665012406947896,0,0.966487774858648,0.015954944536935807,0.9667384819556243,0.9430597808083773,0.9918649995715156
R3-I1,oracle1,N4,loss,0.1211883408071749,0.15936491031390138,0.12222393497757848,0.038176569506726474,0.9728735665937424,0,0.9728493348045657,0.00989514305917822,0.9723149906371592,0.9561817418298746,0.9897101124678727
R3-I1,oracle1,N_distance,loss,0.1211883408071749,0.15936491031390138,0.1350051849775785,0.038176569506726474,0.6380805203576726,0,0.637975113509915,0.02477593539633186,0.6404009438705662,0.5932803249715198,0.6737829598871269
R3-I1,oracle1,N0,inversions,5.536995515695067,9.494775784753363,9.494775784753363,3.957780269058296,0.0,0,0.0,0.0,0.0,0.0,0.0
R3-I1,oracle1,N1,inversions,5.536995515695067,9.494775784753363,9.848195067264575,3.957780269058296,-0.08929734813077511,0,-0.08963803824268737,0.024963045475007987,-0.09115157832140228,-0.12607413697312683,-0.054935718772520264
R3-I1,oracle1,N2,inversions,5.536995515695067,9.494775784753363,6.659750560538116,3.957780269058296,0.7163169836333045,0,0.7162136551090392,0.010449652206093294,0.7151093866676552,0.7023206247719125,0.7342394668203553
R3-I1,oracle1,N3,inversions,5.536995515695067,9.494775784753363,5.669387612107622,3.957780269058296,0.9665489018054921,0,0.9665447893147672,0.007406941475300586,0.9660898087653762,0.9537414890135466,0.9782641835533473
R3-I1,oracle1,N4,inversions,5.536995515695067,9.494775784753363,5.654045683856502,3.957780269058296,0.9704252989797016,0,0.9704092488721776,0.004585232647595077,0.970049259044974,0.9634217676802,0.9777384319136591
R3-I1,oracle1,N_distance,inversions,5.536995515695067,9.494775784753363,6.821583520179373,3.957780269058296,0.675427154325079,0,0.6753125693012465,0.017115207740552044,0.674404017858133,0.6462983980346622,0.7009549877057402
R4-I1,all,N0,loss,0.10651000000000001,0.1426999,0.1426999,0.03618989999999998,0.0,0,0.0,0.0,0.0,0.0,0.0
R4-I1,all,N1,loss,0.10651000000000001,0.1426999,0.1517476,0.03618989999999998,-0.25000621720424826,0,-0.2506154950302592,0.03504481012815423,-0.24467055969064394,-0.31525149753347387,-0.19788663770831066
