scope,condition,metric,mean,std,median,p05,p95,model_mean_min,model_mean_max,model_mean_std
oracle1,observed,inversions,5.476653587443947,0.0,5.476653587443947,5.476653587443947,5.476653587443947,5.039237668161435,5.737107623318385,0.26104101960164716
oracle1,observed,agreement,0.8801233183856505,2.2316322462394835e-16,0.8801233183856503,0.8801233183856503,0.8801233183856503,0.8772982062780271,0.8859164798206275,0.0034718962387835887
oracle1,observed,harmful_fraction,0.805297085201794,2.2316322462394835e-16,0.8052970852017938,0.8052970852017938,0.8052970852017938,0.7860145739910311,0.8132006726457398,0.0117000163836599
oracle1,N0,loss,0.15885002802690582,0.0003959716987753797,0.15881586322869953,0.15826751681614348,0.15954414237668163,0.1551258408071749,0.1600267656950673,0.0020976825044933694
oracle1,N0,recall,0.8411499719730942,0.0003959716987753753,0.8411841367713004,0.8404558576233184,0.8417324831838564,0.8399732343049329,0.8448741591928252,0.002097682504493368
oracle1,N0,inversions,9.467368834080716,0.03687066186633138,9.469352578475336,9.408751401345292,9.531451793721972,9.19635369955157,9.576219170403588,0.15436273714567836
oracle1,N0,agreement,0.8411499719730942,0.0003959716987753753,0.8411841367713004,0.8404558576233184,0.8417324831838564,0.8399732343049329,0.8448741591928252,0.002097682504493368
oracle1,N0,harmful_fraction,0.8980504484304933,0.0013256993693978884,0.8980241031390135,0.8960187780269059,0.900061659192825,0.8910832399103138,0.9001947869955157,0.003920520783561094
oracle1,N1,loss,0.1684976177130045,0.00037559082754510896,0.16849635650224215,0.16787275784753364,0.1690945908071749,0.15263046524663676,0.17280759529147982,0.008876367514558796
oracle1,N1,recall,0.8315023822869954,0.0003755908275451025,0.831503643497758,0.8309054091928252,0.8321272421524663,0.8271924047085202,0.8473695347533634,0.008876367514558892
oracle1,N1,inversions,9.559763452914797,0.03061911038894268,9.561294843049327,9.511992713004483,9.609765975336323,8.12628923766816,9.968168441704037,0.8029486362946208
oracle1,N1,agreement,0.8315023822869954,0.0003755908275451025,0.831503643497758,0.8309054091928252,0.8321272421524663,0.8271924047085202,0.8473695347533634,0.008876367514558892
oracle1,N1,harmful_fraction,0.9137564461883407,0.0011865094947281808,0.9137752242152466,0.9119590807174888,0.9155829596412556,0.8839910313901346,0.9217825112107625,0.01664361070706523
oracle1,N2,loss,0.1301325952914798,0.0002627876012354518,0.13015975336322871,0.12970053251121078,0.13062542040358743,0.12381712443946188,0.13257174887892376,0.0035769044547572133
oracle1,N2,recall,0.8698674047085203,0.0002627876012354398,0.8698402466367714,0.8693745795964126,0.8702994674887893,0.8674282511210762,0.8761828755605383,0.003576904454757328
oracle1,N2,inversions,6.590460762331837,0.016287056424184702,6.592446748878923,6.562214125560539,6.613130605381166,6.010552130044845,6.833849495515694,0.3305364716881587
