model,scope,descriptor,target,bin,queries,descriptor_mean,target_mean
R0-I1,all,relative_span_r2,observed_loss,6,1000,0.032109713061824155,0.0876
R0-I1,all,relative_span_r2,observed_loss,7,1000,0.03877695674332402,0.08480000000000001
R0-I1,all,relative_span_r2,observed_loss,8,1000,0.04921799953513034,0.0698
R0-I1,all,relative_span_r2,observed_loss,9,1000,0.0858549060137068,0.058
R0-I1,all,relative_span_r2,null_mean_loss,0,1000,0.006490197893987037,0.16844
R0-I1,all,relative_span_r2,null_mean_loss,1,1000,0.011617975966132213,0.161128
R0-I1,all,relative_span_r2,null_mean_loss,2,1000,0.015451602346875398,0.154224
R0-I1,all,relative_span_r2,null_mean_loss,3,1000,0.019050433704612693,0.14997199999999997
R0-I1,all,relative_span_r2,null_mean_loss,4,1000,0.02281510677003914,0.141554
R0-I1,all,relative_span_r2,null_mean_loss,5,1000,0.027052800315362283,0.13637200000000002
R0-I1,all,relative_span_r2,null_mean_loss,6,1000,0.032109713061824155,0.13126400000000002
R0-I1,all,relative_span_r2,null_mean_loss,7,1000,0.03877695674332402,0.12275799999999999
R0-I1,all,relative_span_r2,null_mean_loss,8,1000,0.04921799953513034,0.111232
R0-I1,all,relative_span_r2,null_mean_loss,9,1000,0.0858549060137068,0.09335800000000001
R0-I1,all,relative_span_r2,excess_loss,0,1000,0.006490197893987037,-0.030239999999999996
R0-I1,all,relative_span_r2,excess_loss,1,1000,0.011617975966132213,-0.035828
R0-I1,all,relative_span_r2,excess_loss,2,1000,0.015451602346875398,-0.03642399999999999
R0-I1,all,relative_span_r2,excess_loss,3,1000,0.019050433704612693,-0.037871999999999996
R0-I1,all,relative_span_r2,excess_loss,4,1000,0.02281510677003914,-0.03775399999999999
R0-I1,all,relative_span_r2,excess_loss,5,1000,0.027052800315362283,-0.038672
R0-I1,all,relative_span_r2,excess_loss,6,1000,0.032109713061824155,-0.043663999999999994
R0-I1,all,relative_span_r2,excess_loss,7,1000,0.03877695674332402,-0.037958
R0-I1,all,relative_span_r2,excess_loss,8,1000,0.04921799953513034,-0.041432
R0-I1,all,relative_span_r2,excess_loss,9,1000,0.0858549060137068,-0.03535799999999999
R0-I1,all,local_distance_concentration,observed_loss,0,1000,0.15528629793972146,0.10510000000000003
R0-I1,all,local_distance_concentration,observed_loss,1,1000,0.20722823225700107,0.1068
R0-I1,all,local_distance_concentration,observed_loss,2,1000,0.246548048870461,0.10410000000000001
R0-I1,all,local_distance_concentration,observed_loss,3,1000,0.28539714695858664,0.09860000000000002
R0-I1,all,local_distance_concentration,observed_loss,4,1000,0.3297279753207687,0.0971
R0-I1,all,local_distance_concentration,observed_loss,5,1000,0.3820149387746979,0.10270000000000001
R0-I1,all,local_distance_concentration,observed_loss,6,1000,0.4537911604346257,0.10030000000000001
R0-I1,all,local_distance_concentration,observed_loss,7,1000,0.5893291291632634,0.10450000000000001
R0-I1,all,local_distance_concentration,observed_loss,8,1000,0.9897981104636244,0.09060000000000001
R0-I1,all,local_distance_concentration,observed_loss,9,1000,3.937093912908844,0.08530000000000001
R0-I1,all,local_distance_concentration,null_mean_loss,0,1000,0.15528629793972146,0.14735200000000004
R0-I1,all,local_distance_concentration,null_mean_loss,1,1000,0.20722823225700107,0.144332
R0-I1,all,local_distance_concentration,null_mean_loss,2,1000,0.246548048870461,0.139574
R0-I1,all,local_distance_concentration,null_mean_loss,3,1000,0.28539714695858664,0.13534000000000002
R0-I1,all,local_distance_concentration,null_mean_loss,4,1000,0.3297279753207687,0.13785
R0-I1,all,local_distance_concentration,null_mean_loss,5,1000,0.3820149387746979,0.138632
R0-I1,all,local_distance_concentration,null_mean_loss,6,1000,0.4537911604346257,0.138572
R0-I1,all,local_distance_concentration,null_mean_loss,7,1000,0.5893291291632634,0.138962
R0-I1,all,local_distance_concentration,null_mean_loss,8,1000,0.9897981104636244,0.133026
R0-I1,all,local_distance_concentration,null_mean_loss,9,1000,3.937093912908844,0.116662
R0-I1,all,local_distance_concentration,excess_loss,0,1000,0.15528629793972146,-0.042252
R0-I1,all,local_distance_concentration,excess_loss,1,1000,0.20722823225700107,-0.037531999999999996
R0-I1,all,local_distance_concentration,excess_loss,2,1000,0.246548048870461,-0.03547399999999999
R0-I1,all,local_distance_concentration,excess_loss,3,1000,0.28539714695858664,-0.036739999999999995
R0-I1,all,local_distance_concentration,excess_loss,4,1000,0.3297279753207687,-0.040749999999999995
R0-I1,all,local_distance_concentration,excess_loss,5,1000,0.3820149387746979,-0.03593199999999999
R0-I1,all,local_distance_concentration,excess_loss,6,1000,0.4537911604346257,-0.038271999999999994
R0-I1,all,local_distance_concentration,excess_loss,7,1000,0.5893291291632634,-0.034462000000000007
R0-I1,all,local_distance_concentration,excess_loss,8,1000,0.9897981104636244,-0.04242599999999999
R0-I1,all,local_distance_concentration,excess_loss,9,1000,3.937093912908844,-0.031361999999999994
R0-I1,all,candidate_count,observed_loss,0,994,567.7766599597586,0.11338028169014086
R0-I1,all,candidate_count,observed_loss,1,1006,783.3956262425447,0.10755467196819087
R0-I1,all,candidate_count,observed_loss,2,992,905.4788306451613,0.10171370967741936
R0-I1,all,candidate_count,observed_loss,3,1005,986.6646766169155,0.10716417910447763
R0-I1,all,candidate_count,observed_loss,4,1002,1050.441117764471,0.10309381237524952
R0-I1,all,candidate_count,observed_loss,5,991,1102.250252270434,0.09646821392532795
R0-I1,all,candidate_count,observed_loss,6,1009,1149.4717542120911,0.0935579781962339
R0-I1,all,candidate_count,observed_loss,7,988,1196.093117408907,0.09838056680161945
R0-I1,all,candidate_count,observed_loss,8,992,1250.2590725806451,0.08840725806451613
R0-I1,all,candidate_count,observed_loss,9,1021,1355.594515181195,0.08560235063663076
R0-I1,all,candidate_count,null_mean_loss,0,994,567.7766599597586,0.16861971830985917
R0-I1,all,candidate_count,null_mean_loss,1,1006,783.3956262425447,0.1506441351888668
R0-I1,all,candidate_count,null_mean_loss,2,992,905.4788306451613,0.14516935483870966
R0-I1,all,candidate_count,null_mean_loss,3,1005,986.6646766169155,0.14431243781094527
R0-I1,all,candidate_count,null_mean_loss,4,1002,1050.441117764471,0.13442115768463073
R0-I1,all,candidate_count,null_mean_loss,5,991,1102.250252270434,0.13252674066599396
R0-I1,all,candidate_count,null_mean_loss,6,1009,1149.4717542120911,0.13331219028741328
R0-I1,all,candidate_count,null_mean_loss,7,988,1196.093117408907,0.12640283400809715
R0-I1,all,candidate_count,null_mean_loss,8,992,1250.2590725806451,0.12121572580645162
R0-I1,all,candidate_count,null_mean_loss,9,1021,1355.594515181195,0.11404113614103821
R0-I1,all,candidate_count,excess_loss,0,994,567.7766599597586,-0.05523943661971831
R0-I1,all,candidate_count,excess_loss,1,1006,783.3956262425447,-0.04308946322067593
R0-I1,all,candidate_count,excess_loss,2,992,905.4788306451613,-0.043455645161290316
R0-I1,all,candidate_count,excess_loss,3,1005,986.6646766169155,-0.03714825870646765
R0-I1,all,candidate_count,excess_loss,4,1002,1050.441117764471,-0.03132734530938123
R0-I1,all,candidate_count,excess_loss,5,991,1102.250252270434,-0.03605852674066599
R0-I1,all,candidate_count,excess_loss,6,1009,1149.4717542120911,-0.03975421209117938
R0-I1,all,candidate_count,excess_loss,7,988,1196.093117408907,-0.028022267206477724
R0-I1,all,candidate_count,excess_loss,8,992,1250.2590725806451,-0.03280846774193548
R0-I1,all,candidate_count,excess_loss,9,1021,1355.594515181195,-0.028438785504407437
R0-I1,all,d1,observed_loss,0,1000,8494.225,0.10610000000000001
R0-I1,all,d1,observed_loss,1,1000,17747.16,0.10260000000000002
R0-I1,all,d1,observed_loss,2,999,24735.436436436437,0.10600600600600601
R0-I1,all,d1,observed_loss,3,1001,30620.504495504494,0.1068931068931069
R0-I1,all,d1,observed_loss,4,1000,35600.709,0.1057
R0-I1,all,d1,observed_loss,5,1000,40385.628,0.10170000000000001
R0-I1,all,d1,observed_loss,6,1000,45292.683,0.10200000000000001
R0-I1,all,d1,observed_loss,7,1000,50283.349,0.09660000000000002
R0-I1,all,d1,observed_loss,8,1000,56566.825,0.0841
R0-I1,all,d1,observed_loss,9,1000,68307.257,0.0834
R0-I1,all,d1,null_mean_loss,0,1000,8494.225,0.15660000000000002
R0-I1,all,d1,null_mean_loss,1,1000,17747.16,0.14739600000000003
R0-I1,all,d1,null_mean_loss,2,999,24735.436436436437,0.14856256256256256
R0-I1,all,d1,null_mean_loss,3,1001,30620.504495504494,0.14530869130869128
R0-I1,all,d1,null_mean_loss,4,1000,35600.709,0.144214
R0-I1,all,d1,null_mean_loss,5,1000,40385.628,0.140086
R0-I1,all,d1,null_mean_loss,6,1000,45292.683,0.134898
R0-I1,all,d1,null_mean_loss,7,1000,50283.349,0.12842599999999998
R0-I1,all,d1,null_mean_loss,8,1000,56566.825,0.1184
R0-I1,all,d1,null_mean_loss,9,1000,68307.257,0.106414
R0-I1,all,d1,excess_loss,0,1000,8494.225,-0.050499999999999996
R0-I1,all,d1,excess_loss,1,1000,17747.16,-0.044795999999999996
R0-I1,all,d1,excess_loss,2,999,24735.436436436437,-0.042556556556556546
R0-I1,all,d1,excess_loss,3,1001,30620.504495504494,-0.03841558441558441
R0-I1,all,d1,excess_loss,4,1000,35600.709,-0.03851399999999999
R0-I1,all,d1,excess_loss,5,1000,40385.628,-0.038385999999999997
R0-I1,all,d1,excess_loss,6,1000,45292.683,-0.032898
R0-I1,all,d1,excess_loss,7,1000,50283.349,-0.03182599999999999
R0-I1,all,d1,excess_loss,8,1000,56566.825,-0.0343
R0-I1,all,d1,excess_loss,9,1000,68307.257,-0.023013999999999996
R0-I1,all,dk,observed_loss,0,1000,18387.039,0.12290000000000001
R0-I1,all,dk,observed_loss,1,1000,31203.087,0.1082
R0-I1,all,dk,observed_loss,2,1000,38322.118,0.1063
R0-I1,all,dk,observed_loss,3,1000,43859.896,0.10270000000000001
R0-I1,all,dk,observed_loss,4,1000,48983.068,0.10260000000000001
R0-I1,all,dk,observed_loss,5,1000,53667.632,0.10210000000000002
R0-I1,all,dk,observed_loss,6,1000,58205.979,0.09170000000000002
R0-I1,all,dk,observed_loss,7,1000,63299.961,0.09259999999999999
R0-I1,all,dk,observed_loss,8,1000,69703.376,0.08870000000000001
R0-I1,all,dk,observed_loss,9,1000,82076.517,0.07730000000000001
R0-I1,all,dk,null_mean_loss,0,1000,18387.039,0.18445399999999998
R0-I1,all,dk,null_mean_loss,1,1000,31203.087,0.155502
R0-I1,all,dk,null_mean_loss,2,1000,38322.118,0.14790999999999999
R0-I1,all,dk,null_mean_loss,3,1000,43859.896,0.142926
R0-I1,all,dk,null_mean_loss,4,1000,48983.068,0.1398
R0-I1,all,dk,null_mean_loss,5,1000,53667.632,0.135314
R0-I1,all,dk,null_mean_loss,6,1000,58205.979,0.125944
R0-I1,all,dk,null_mean_loss,7,1000,63299.961,0.12056
R0-I1,all,dk,null_mean_loss,8,1000,69703.376,0.117102
R0-I1,all,dk,null_mean_loss,9,1000,82076.517,0.10078999999999999
R0-I1,all,dk,excess_loss,0,1000,18387.039,-0.061554
R0-I1,all,dk,excess_loss,1,1000,31203.087,-0.04730199999999999
R0-I1,all,dk,excess_loss,2,1000,38322.118,-0.04160999999999999
R0-I1,all,dk,excess_loss,3,1000,43859.896,-0.04022599999999999
R0-I1,all,dk,excess_loss,4,1000,48983.068,-0.03719999999999999
R0-I1,all,dk,excess_loss,5,1000,53667.632,-0.033214
R0-I1,all,dk,excess_loss,6,1000,58205.979,-0.034244
R0-I1,all,dk,excess_loss,7,1000,63299.961,-0.027959999999999995
R0-I1,all,dk,excess_loss,8,1000,69703.376,-0.028401999999999993
R0-I1,all,dk,excess_loss,9,1000,82076.517,-0.023489999999999994
R0-I1,all,dk_plus_1,observed_loss,0,1000,18663.426,0.12380000000000001
R0-I1,all,dk_plus_1,observed_loss,1,1000,31622.377,0.10909999999999999
R0-I1,all,dk_plus_1,observed_loss,2,1000,38749.061,0.10690000000000001
R0-I1,all,dk_plus_1,observed_loss,3,1000,44313.178,0.1025
R0-I1,all,dk_plus_1,observed_loss,4,1000,49454.723,0.1029
R0-I1,all,dk_plus_1,observed_loss,5,1000,54164.113,0.10180000000000002
R0-I1,all,dk_plus_1,observed_loss,6,1000,58715.017,0.09060000000000001
R0-I1,all,dk_plus_1,observed_loss,7,1000,63847.908,0.093
R0-I1,all,dk_plus_1,observed_loss,8,999,70285.67367367368,0.08858858858858859
