phase,mode,replicate,clock_level,component,mean_us
diagnostic,GAP_BOUNDED,0,1,t_candidate_finalize,0.24611444007858546
diagnostic,GAP_BOUNDED,0,1,t_exact16,0.5433585461689587
diagnostic,GAP_BOUNDED,0,1,t_final_topk,0.2680971793432501
diagnostic,GAP_BOUNDED,1,1,t_search_including_retention,168.27217457198986
diagnostic,GAP_BOUNDED,1,1,t_candidate_finalize,0.24515513612124615
diagnostic,GAP_BOUNDED,1,1,t_exact16,0.5574698989615492
diagnostic,GAP_BOUNDED,1,1,t_final_topk,0.26821190008419876
diagnostic,GAP_BOUNDED,2,1,t_search_including_retention,168.24245923379172
diagnostic,GAP_BOUNDED,2,1,t_candidate_finalize,0.24401368229020487
diagnostic,GAP_BOUNDED,2,1,t_exact16,0.5593892786977267
diagnostic,GAP_BOUNDED,2,1,t_final_topk,0.2679622509121527
diagnostic,GAP_BOUNDED,3,1,t_search_including_retention,168.75523035363454
diagnostic,GAP_BOUNDED,3,1,t_candidate_finalize,0.24437706988492844
diagnostic,GAP_BOUNDED,3,1,t_exact16,0.5399337636822902
diagnostic,GAP_BOUNDED,3,1,t_final_topk,0.26590646926747125
diagnostic,GAP_BOUNDED,4,1,t_search_including_retention,169.07832030592198
diagnostic,GAP_BOUNDED,4,1,t_candidate_finalize,0.24866952006735896
diagnostic,GAP_BOUNDED,4,1,t_exact16,0.5520923379174852
diagnostic,GAP_BOUNDED,4,1,t_final_topk,0.26853746842548415
diagnostic,GAP_BOUNDED,5,1,t_search_including_retention,168.23132381420152
diagnostic,GAP_BOUNDED,5,1,t_candidate_finalize,0.2463159556553466
diagnostic,GAP_BOUNDED,5,1,t_exact16,0.5581357704181868
diagnostic,GAP_BOUNDED,5,1,t_final_topk,0.26698926466460843
diagnostic,GAP_BOUNDED,6,1,t_search_including_retention,168.74627224249227
diagnostic,GAP_BOUNDED,6,1,t_candidate_finalize,0.24340176817288797
diagnostic,GAP_BOUNDED,6,1,t_exact16,0.5389278697726634
diagnostic,GAP_BOUNDED,6,1,t_final_topk,0.2659179764243615
diagnostic,NATIVE,0,1,t_search_including_retention,162.7854068200954
diagnostic,NATIVE,0,1,t_candidate_finalize,0.015917064271681172
diagnostic,NATIVE,0,1,t_exact16,0.01938794555150155
diagnostic,NATIVE,0,1,t_final_topk,0.20796996912714008
diagnostic,NATIVE,1,1,t_search_including_retention,162.40251620825146
diagnostic,NATIVE,1,1,t_candidate_finalize,0.016035924782486673
diagnostic,NATIVE,1,1,t_exact16,0.019270348021330343
diagnostic,NATIVE,1,1,t_final_topk,0.20697396856581532
diagnostic,NATIVE,2,1,t_search_including_retention,163.2294762840303
diagnostic,NATIVE,2,1,t_candidate_finalize,0.016215268032556837
diagnostic,NATIVE,2,1,t_exact16,0.018189306763962954
diagnostic,NATIVE,2,1,t_final_topk,0.20899901768172888
diagnostic,NATIVE,3,1,t_search_including_retention,162.70239131349985
diagnostic,NATIVE,3,1,t_candidate_finalize,0.01580479932641033
diagnostic,NATIVE,3,1,t_exact16,0.018537608756665738
diagnostic,NATIVE,3,1,t_final_topk,0.2059593039573393
diagnostic,NATIVE,4,1,t_search_including_retention,162.0922889419029
diagnostic,NATIVE,4,1,t_candidate_finalize,0.015720109458321644
diagnostic,NATIVE,4,1,t_exact16,0.018653662643839466
diagnostic,NATIVE,4,1,t_final_topk,0.20546021611001966
diagnostic,NATIVE,5,1,t_search_including_retention,162.12126943586864
diagnostic,NATIVE,5,1,t_candidate_finalize,0.01710812517541398
diagnostic,NATIVE,5,1,t_exact16,0.0181581532416503
diagnostic,NATIVE,5,1,t_final_topk,0.20768453550378896
diagnostic,NATIVE,6,1,t_search_including_retention,162.30669948077465
diagnostic,NATIVE,6,1,t_candidate_finalize,0.015837215829357286
diagnostic,NATIVE,6,1,t_exact16,0.01816418748245861
diagnostic,NATIVE,6,1,t_final_topk,0.20766306483300587
detail,BOUNDED,0,2,t_search_including_retention,180.6422759612686
detail,BOUNDED,0,2,t_candidate_finalize,0.247632683132192
detail,BOUNDED,0,2,t_exact16,0.01525813920853214
detail,BOUNDED,0,2,t_final_topk,0.2245136121246141
detail,FULL,0,2,t_search_including_retention,196.59464678641595
detail,FULL,0,2,t_candidate_finalize,3.1914572691552068
detail,FULL,0,2,t_exact16,0.017259612685938817
detail,FULL,0,2,t_final_topk,0.24448989615492564
