model,scope,descriptor,target,queries,spearman
R2-I1,all,boundary_gap_r5,observed_loss,10000,-0.3479509957255258
R2-I1,all,boundary_gap_r5,null_mean_loss,10000,-0.6471733877198113
R2-I1,all,boundary_gap_r5,excess_loss,10000,0.12619420822881178
R2-I1,all,relative_boundary_margin,observed_loss,10000,-0.17969245572215733
R2-I1,all,relative_boundary_margin,null_mean_loss,10000,-0.24698709427671078
R2-I1,all,relative_boundary_margin,excess_loss,10000,-0.020360042080616703
R2-I1,all,relative_span_r2,observed_loss,10000,-0.28306672216284645
R2-I1,all,relative_span_r2,null_mean_loss,10000,-0.4219852564332673
R2-I1,all,relative_span_r2,excess_loss,10000,-0.005944393293153733
R2-I1,all,local_distance_concentration,observed_loss,10000,-0.07969717100468003
R2-I1,all,local_distance_concentration,null_mean_loss,10000,-0.152871130550677
R2-I1,all,local_distance_concentration,excess_loss,10000,0.02617420978629567
R2-I1,all,candidate_count,observed_loss,10000,-0.09985075238678834
R2-I1,all,candidate_count,null_mean_loss,10000,-0.16178258637810566
R2-I1,all,candidate_count,excess_loss,10000,0.03701145401658659
R2-I1,all,d1,observed_loss,10000,-0.08853867653309161
R2-I1,all,d1,null_mean_loss,10000,-0.16251435984363274
R2-I1,all,d1,excess_loss,10000,0.04977866702218648
R2-I1,all,dk,observed_loss,10000,-0.14780457265555244
R2-I1,all,dk,null_mean_loss,10000,-0.28495849460287975
R2-I1,all,dk,excess_loss,10000,0.08481918234765772
R2-I1,all,dk_plus_1,observed_loss,10000,-0.15468147171663926
R2-I1,all,dk_plus_1,null_mean_loss,10000,-0.2949398695800202
R2-I1,all,dk_plus_1,excess_loss,10000,0.0850693240697439
R2-I1,all,d20,observed_loss,10000,-0.16525275894314595
R2-I1,all,d20,null_mean_loss,10000,-0.31687765008989444
R2-I1,all,d20,excess_loss,10000,0.09005491977561297
R2-I1,all,oracle_recall,observed_loss,10000,0.29477233988589335
R2-I1,all,oracle_recall,null_mean_loss,10000,0.46223409592006404
R2-I1,all,oracle_recall,excess_loss,10000,-0.0672848890754806
R2-I1,oracle1,boundary_gap_r1,observed_loss,7136,-0.311706174757718
R2-I1,oracle1,boundary_gap_r1,null_mean_loss,7136,-0.49659815405974167
R2-I1,oracle1,boundary_gap_r1,excess_loss,7136,0.022050613146639
R2-I1,oracle1,boundary_gap_r2,observed_loss,7136,-0.4423994851182199
R2-I1,oracle1,boundary_gap_r2,null_mean_loss,7136,-0.7650319489526302
R2-I1,oracle1,boundary_gap_r2,excess_loss,7136,0.06618595061334552
R2-I1,oracle1,boundary_gap_r5,observed_loss,7136,-0.38842970027238294
R2-I1,oracle1,boundary_gap_r5,null_mean_loss,7136,-0.7838859507141612
R2-I1,oracle1,boundary_gap_r5,excess_loss,7136,0.14021694478868277
R2-I1,oracle1,relative_boundary_margin,observed_loss,7136,-0.2985189258581703
R2-I1,oracle1,relative_boundary_margin,null_mean_loss,7136,-0.4358086383313466
R2-I1,oracle1,relative_boundary_margin,excess_loss,7136,-0.015596959033475433
R2-I1,oracle1,relative_span_r2,observed_loss,7136,-0.43849058270768065
R2-I1,oracle1,relative_span_r2,null_mean_loss,7136,-0.6881667742568379
R2-I1,oracle1,relative_span_r2,excess_loss,7136,0.004122330753327573
R2-I1,oracle1,local_distance_concentration,observed_loss,7136,-0.2168253809479465
