scope,feature,quintile,queries,min,max,mean_ranking_loss,harmful_fraction,available_rerank_gain,top16_gain,top32_gain,top64_gain
shard2,g9_12_pq,5,500,2076.75,11319.09765625,0.058600000000000006,0.518,0.058600000000000006,0.05500000000000001,0.0586,0.0586
shard2,g9_12_rel,1,500,0.00033099157556149196,0.013518611088293156,0.13319999999999999,0.816,0.13319999999999999,0.1152,0.1332,0.1332
shard2,g9_12_rel,2,500,0.013520018775440004,0.02067585898527885,0.11220000000000002,0.78,0.11220000000000002,0.1024,0.11220000000000001,0.11220000000000001
shard2,g9_12_rel,3,500,0.020682353985354028,0.02965631891371929,0.10120000000000001,0.744,0.10120000000000001,0.0918,0.1012,0.1012
shard2,g9_12_rel,4,500,0.029663824870177616,0.04351326604467458,0.0902,0.702,0.0902,0.08159999999999999,0.09,0.0902
shard2,g9_12_rel,5,500,0.04351403753227983,0.44330385158886787,0.06580000000000001,0.566,0.06580000000000001,0.0622,0.0658,0.0658
shard3,g9_12_pq,1,500,24.0458984375,636.8828125,0.14060000000000003,0.824,0.14060000000000003,0.1216,0.13979999999999998,0.1406
shard3,g9_12_pq,2,500,636.921875,966.046875,0.10740000000000001,0.73,0.10740000000000001,0.0984,0.10740000000000001,0.10740000000000001
shard3,g9_12_pq,3,500,966.181640625,1399.0390625,0.11220000000000002,0.78,0.11220000000000002,0.0998,0.11220000000000001,0.11220000000000001
shard3,g9_12_pq,4,500,1399.640625,2033.27734375,0.0814,0.646,0.0814,0.0744,0.0814,0.0814
shard3,g9_12_pq,5,500,2035.1484375,10088.0390625,0.050199999999999995,0.44,0.050199999999999995,0.047,0.0502,0.0502
shard3,g9_12_rel,1,500,0.0014041586557469706,0.01337333285643197,0.12260000000000001,0.756,0.12260000000000001,0.1092,0.1226,0.1226
shard3,g9_12_rel,2,500,0.013376919660380978,0.02010041626970778,0.11900000000000001,0.752,0.11900000000000001,0.1046,0.1182,0.119
shard3,g9_12_rel,3,500,0.020106698654135956,0.02827095888841682,0.1044,0.736,0.1044,0.095,0.1044,0.1044
shard3,g9_12_rel,4,500,0.028271942876666147,0.04130345575415389,0.0832,0.656,0.0832,0.07339999999999999,0.0832,0.0832
shard3,g9_12_rel,5,500,0.04131458419184453,0.21796497668856632,0.0626,0.52,0.0626,0.059,0.0626,0.0626
