model,exact_rank,count,signed_mean,mae,variance,std,p05,p95
R1-I1,28,10000,357.1588689941406,1113.1864200683594,1880205.8256331917,1371.205974911571,-1965.2619140625,2532.354296874999
R1-I1,29,10000,352.0732480712891,1118.1391138427734,1914037.0679499924,1383.4872850698673,-1987.720703125,2568.8214843749984
R1-I1,30,10000,333.8651748046875,1128.2064389648438,1946777.8121904503,1395.269799067711,-2017.0,2547.383593749999
R2-I1,1,10000,548.1238111450195,1011.8699702270508,1316268.235777442,1147.2873379312796,-1367.29140625,2348.062109375
R2-I1,2,10000,504.16698337402346,1031.115183178711,1441403.6805744232,1200.5847244465604,-1543.5962890624999,2418.5356445312495
R2-I1,3,10000,478.1594433959961,1048.2957250366212,1521023.3931846386,1233.2977714990968,-1606.1982421875,2447.9124999999985
R2-I1,4,10000,429.8894844970703,1037.7553685791015,1542623.0961475903,1242.0237904917885,-1663.234375,2396.3931640624987
R2-I1,5,10000,456.47149191894533,1065.9186455322265,1638976.1601681758,1280.2250427827819,-1686.2609375,2482.0687499999976
R2-I1,6,10000,423.4535840209961,1060.8862646850587,1616631.856919643,1271.468386126703,-1701.3738281249998,2428.3089843749976
R2-I1,7,10000,425.2570296508789,1071.9186401000977,1670580.8372138303,1292.5095114597148,-1738.294921875,2462.54765625
R2-I1,8,10000,404.66461783447266,1075.7152344360352,1705997.7184866392,1306.1384759996313,-1794.5093749999999,2450.979296874998
R2-I1,9,10000,415.87677657470704,1078.2157579223633,1716945.251800528,1310.3225754754162,-1783.0890625,2493.5699218749996
R2-I1,10,10000,410.999398828125,1098.3204361328126,1773296.7344435265,1331.6518818533343,-1803.3771484375,2530.3726562499983
R2-I1,11,10000,392.8258506835937,1104.2251380859375,1809949.034938311,1345.343463558028,-1865.7224609374998,2559.9326171874995
R2-I1,12,10000,410.25510510253906,1102.907964477539,1791369.3083471672,1338.4204527528586,-1846.5484374999999,2522.2392578124995
R2-I1,13,10000,386.9091610107422,1088.533379663086,1771178.0213284343,1330.85612345153,-1844.2339843749999,2521.5527343749995
R2-I1,14,10000,392.0116046386719,1092.2753263183595,1790214.3532480854,1337.9889211978123,-1822.4763671874998,2531.6925781249993
R2-I1,15,10000,392.83224635009765,1098.8447429321288,1796019.250613999,1340.156427665815,-1889.6078125,2494.9234374999974
R2-I1,16,10000,371.05035233154297,1103.2338358276368,1835436.210554864,1354.7827171007402,-1916.01484375,2541.933593749999
R2-I1,17,10000,389.3323515136719,1104.1623728027344,1802690.6238834525,1342.6431483769068,-1856.902734375,2548.7935546874983
R2-I1,18,10000,362.43378854980466,1110.3080881591798,1857840.8520089192,1363.0263577821668,-1943.6533203125,2501.9431640625
R2-I1,19,10000,359.84613760986326,1114.5810210083007,1879535.376054393,1370.9614786909196,-1896.5607421875,2535.0496093749985
R2-I1,20,10000,361.8848525024414,1106.7081326782227,1840559.2672732305,1356.6721296146798,-1924.4800781249999,2514.595703124999
R2-I1,21,10000,347.21075736083986,1102.246969567871,1854740.1141297035,1361.8884367413152,-1910.3824218749999,2527.8785156249987
R2-I1,22,10000,356.2299404296875,1134.935102734375,1932905.303909341,1390.2896474869333,-1957.791015625,2544.833300781247
R2-I1,23,10000,352.37579807128907,1120.1918708251953,1904486.4988618153,1380.0313398114606,-1922.22265625,2521.3226562499995
