ef_search,feature,direction,threshold,query_fraction,count,mean_loss,harmful_fraction
64,cross_boundary_inversion_fraction,ge,7.772430193514452e-05,0.8,8000,0.12382500000000002,0.870875
64,cross_boundary_inversion_fraction,ge,0.00016420361247947455,0.7002,7002,0.12999143101970867,0.8801770922593545
64,cross_boundary_inversion_fraction,ge,0.0002538071065989848,0.6003,6003,0.13773113443278362,0.8877228052640347
64,cross_boundary_inversion_fraction,ge,0.00036850510321401994,0.5,5000,0.14724,0.8946
64,cross_boundary_inversion_fraction,ge,0.0005073567588210305,0.4,4000,0.15822500000000003,0.90775
64,cross_boundary_inversion_fraction,ge,0.0006736276623917082,0.3,3000,0.17076666666666665,0.916
64,cross_boundary_inversion_fraction,ge,0.000924539938488845,0.2,2000,0.1885,0.929
64,cross_boundary_inversion_fraction,ge,0.001365223563828262,0.1,1000,0.215,0.944
64,maximum_violation,ge,-562.1945312499998,0.9,9000,0.11060000000000002,0.7794444444444445
64,maximum_violation,ge,29.054492187500088,0.8,8000,0.12371250000000002,0.86975
64,maximum_violation,ge,433.1925781250002,0.7,7000,0.12805714285714287,0.8691428571428571
64,maximum_violation,ge,783.0703125000001,0.6,6000,0.13235,0.8696666666666667
64,maximum_violation,ge,1108.46533203125,0.5,5000,0.13554000000000002,0.8682
64,maximum_violation,ge,1449.3515625,0.4,4000,0.13782500000000003,0.86575
64,maximum_violation,ge,1854.8870117187503,0.3,3000,0.1419,0.8653333333333333
64,maximum_violation,ge,2353.6296875000003,0.2,2000,0.14610000000000004,0.8615
64,maximum_violation,ge,3129.3933593750003,0.1,1000,0.14930000000000002,0.87
64,topk_agreement,le,0.8,0.3141,3141,0.18697866921362624,0.9340974212034384
64,topk_agreement,le,0.9,0.8067,8067,0.12339159538862034,0.8695921656129912
64,topk_agreement,le,1.0,1.0,10000,0.09954,0.7015
64,random_inversion_rate,ge,0.0234375,0.9275,9275,0.09965498652291106,0.7005929919137466
64,random_inversion_rate,ge,0.02734375,0.8233,8233,0.10052228835175515,0.7029029515364994
64,random_inversion_rate,ge,0.029296875,0.7515,7515,0.10142381902860946,0.7053892215568862
64,random_inversion_rate,ge,0.03125,0.6723,6723,0.102216272497397,0.7066785661163171
64,random_inversion_rate,ge,0.03515625,0.5001,5001,0.10445910817836432,0.714257148570286
64,random_inversion_rate,ge,0.037109375,0.4143,4143,0.10535843591600291,0.7154236060825488
64,random_inversion_rate,ge,0.0390625,0.3284,3284,0.10666869671132766,0.7232034104750305
64,random_inversion_rate,ge,0.041015625,0.2565,2565,0.10877192982456141,0.7309941520467836
64,random_inversion_rate,ge,0.046875,0.1024,1024,0.11718750000000001,0.7734375
64,candidate_count,ge,697.9000000000001,0.9,9000,0.09794444444444445,0.6938888888888889
64,candidate_count,ge,855.0,0.8003,8003,0.09673872297888292,0.6853679870048732
64,candidate_count,ge,949.0,0.7009,7009,0.09547724354401485,0.676844057640177
64,candidate_count,ge,1021.0,0.6005,6005,0.09337218984179851,0.6679433805162365
64,candidate_count,ge,1077.0,0.5002,5002,0.09226309476209517,0.6605357856857257
64,candidate_count,ge,1126.0,0.4012,4012,0.09127617148554339,0.6493020937188435
64,candidate_count,ge,1173.0,0.3007,3007,0.08945793149318257,0.6385101429996675
64,candidate_count,ge,1223.0,0.2011,2011,0.08717056190949776,0.625559423172551
64,candidate_count,ge,1283.0,0.1014,1014,0.08579881656804733,0.6045364891518737
128,candidate_mae,ge,991.3883764833955,0.9,9000,0.11275555555555558,0.7726666666666666
128,candidate_mae,ge,1118.54959391119,0.8,8000,0.11192500000000001,0.767
128,candidate_mae,ge,1204.5994280397651,0.7,7000,0.11124285714285714,0.764
128,candidate_mae,ge,1278.2556739035758,0.6,6000,0.11168333333333334,0.763
128,candidate_mae,ge,1347.8182233258442,0.5,5000,0.11122,0.7606
128,candidate_mae,ge,1418.2346822675502,0.4,4000,0.11027500000000001,0.759
128,candidate_mae,ge,1492.8973588000372,0.3,3000,0.10996666666666666,0.7606666666666667
128,candidate_mae,ge,1577.6513411102146,0.2,2000,0.10855000000000001,0.755
128,candidate_mae,ge,1703.7469122876869,0.1,1000,0.10480000000000002,0.74
128,relative_boundary_margin,le,0.000881573713941691,0.1,1000,0.13510000000000003,0.838
128,relative_boundary_margin,le,0.002000909653222585,0.2,2000,0.13590000000000002,0.849
128,relative_boundary_margin,le,0.0032403588795346184,0.3,3000,0.1352666666666667,0.847
128,relative_boundary_margin,le,0.00476198780729707,0.4,4000,0.13465000000000005,0.8485
128,relative_boundary_margin,le,0.006564915423337266,0.5,5000,0.13266,0.8434
128,relative_boundary_margin,le,0.008674483125947449,0.6,6000,0.1302,0.8391666666666666
128,relative_boundary_margin,le,0.011563398271409014,0.7,7000,0.12725714285714287,0.8302857142857143
128,relative_boundary_margin,le,0.015654797568897528,0.8,8000,0.12435000000000002,0.822125
128,relative_boundary_margin,le,0.023184046176670806,0.9,9000,0.12061111111111111,0.8093333333333333
128,boundary_local_mae,ge,566.2717151988636,0.9,9000,0.1151777777777778,0.7794444444444445
128,boundary_local_mae,ge,688.3583096590909,0.8,8000,0.11646250000000002,0.783375
128,boundary_local_mae,ge,781.4629083806819,0.7,7000,0.11838571428571429,0.7882857142857143
128,boundary_local_mae,ge,869.3450284090909,0.6,6000,0.12033333333333333,0.795
128,boundary_local_mae,ge,951.400390625,0.5,5000,0.12274000000000002,0.8028
128,boundary_local_mae,ge,1044.1646306818182,0.4,4000,0.1254,0.81275
128,boundary_local_mae,ge,1147.853426846591,0.3,3000,0.12936666666666669,0.825
128,boundary_local_mae,ge,1273.7046875000003,0.2,2000,0.132,0.838
128,boundary_local_mae,ge,1452.299502840909,0.1,1000,0.1378,0.852
128,error_scale_over_boundary_margin,ge,0.8360594367315058,0.8869,8869,0.12203179614387194,0.8173413011613485
128,error_scale_over_boundary_margin,ge,1.2605833698445903,0.7884,7884,0.12704211060375445,0.8353627600202943
128,error_scale_over_boundary_margin,ge,1.6968838922324039,0.6898,6898,0.13063206726587417,0.8441577268773558
128,error_scale_over_boundary_margin,ge,2.235774909704115,0.5913,5913,0.13417892778623375,0.8538812785388128
128,error_scale_over_boundary_margin,ge,2.988244219433641,0.4928,4928,0.13711444805194806,0.8577516233766234
128,error_scale_over_boundary_margin,ge,4.019038291177907,0.3942,3942,0.13990360223236936,0.8619989852866565
128,error_scale_over_boundary_margin,ge,5.827005344668462,0.2957,2957,0.14376056814338858,0.8728440987487318
128,error_scale_over_boundary_margin,ge,9.39459821062066,0.1971,1971,0.14500253678335873,0.878234398782344
128,error_scale_over_boundary_margin,ge,19.711438839333017,0.0986,986,0.14868154158215013,0.8843813387423936
128,cross_boundary_inversion_count,ge,0.0,1.0,10000,0.11418000000000002,0.7764
128,cross_boundary_inversion_count,ge,1.0,0.8153,8153,0.1400466086103275,0.952287501533178
128,cross_boundary_inversion_count,ge,2.0,0.7214,7214,0.14603548655392296,0.9538397560299418
128,cross_boundary_inversion_count,ge,3.0,0.6195,6195,0.1543502824858757,0.9536723163841808
128,cross_boundary_inversion_count,ge,4.0,0.5298,5298,0.1647980369950925,0.9582861457153643
128,cross_boundary_inversion_count,ge,5.0,0.4542,4542,0.17318361955085862,0.9603698811096433
128,cross_boundary_inversion_count,ge,7.0,0.3293,3293,0.19000911023382935,0.9665958092924385
128,cross_boundary_inversion_count,ge,10.0,0.2037,2037,0.21246931762395682,0.9695630829651448
128,cross_boundary_inversion_count,ge,14.0,0.1091,1091,0.23519706691109077,0.9715857011915674
128,cross_boundary_inversion_fraction,ge,0.0,1.0,10000,0.11418000000000002,0.7764
128,cross_boundary_inversion_fraction,ge,4.530627187538991e-05,0.8,8000,0.14106250000000004,0.953875
