phase,mode,replicate,clock_level,mean_us,median_us,p90_us,p95_us,p99_us,service_qps,stream_qps,full_scratch_bytes
diagnostic,GAP_BOUNDED,5,1,169.30276480493964,171.3545,191.58350000000002,198.48804999999996,213.75941999999998,5906.578083069932,5904.873757384998,0
diagnostic,GAP_BOUNDED,6,0,169.31559570586586,171.38299999999998,191.82969999999997,198.30105,213.04064,5906.1304768238515,5904.509170494456,0
diagnostic,GAP_BOUNDED,6,1,169.7945198568622,172.029,192.5699,199.01715,212.84721,5889.471585084171,5887.71470461866,0
diagnostic,NATIVE,0,0,163.6812690850407,165.4495,186.006,192.66029999999998,207.20085999999998,6109.434546725377,6107.388179301878,0
diagnostic,NATIVE,0,1,163.02868179904576,165.05200000000002,184.99,191.1563,204.46418,6133.889993863971,6131.828574914034,0
diagnostic,NATIVE,1,0,162.5491317008139,164.588,184.1247,190.39949999999996,204.3857,6151.986107440973,6149.950490352615,0
diagnostic,NATIVE,1,1,162.6447964496211,164.55700000000002,184.0818,190.29059999999998,204.01151,6148.367619678186,6146.331506881838,0
diagnostic,NATIVE,2,0,163.19054736177378,165.0505,185.2242,191.50089999999997,205.30623,6127.805906448249,6125.754695761583,0
diagnostic,NATIVE,2,1,163.47287987650859,165.3095,185.391,191.64064999999997,206.92893999999998,6117.222628948755,6115.228329178488,0
diagnostic,NATIVE,3,0,163.1404092758911,165.019,184.891,191.74790000000002,205.24599999999998,6129.689170442581,6127.708887117626,0
diagnostic,NATIVE,3,1,162.94269302554028,164.8495,184.76940000000002,190.92245,205.32634,6137.1269949690595,6135.098525097777,0
diagnostic,NATIVE,4,0,162.56190576761156,164.397,184.1267,190.7659,205.23488,6151.502686179984,6149.504374606695,0
diagnostic,NATIVE,4,1,162.33212293011508,164.476,183.44050000000001,189.74155,204.37133,6160.210203315741,6158.168459798043,0
diagnostic,NATIVE,5,0,162.28515976705023,164.2415,183.7308,189.96949999999998,204.52482999999998,6161.992886074332,6159.929838278122,0
diagnostic,NATIVE,5,1,162.3642202497895,164.2925,183.6217,189.8789,203.35875999999996,6158.992408928201,6156.979337068478,0
diagnostic,NATIVE,6,0,162.3936432781364,164.392,183.8363,189.77149999999997,203.73782999999997,6157.876501897739,6155.883029604547,0
diagnostic,NATIVE,6,1,162.54836394891944,164.443,184.1599,190.34984999999998,204.47374,6152.015164632776,6149.994251748987,0
detail,BOUNDED,0,2,181.12968039573394,183.38,205.8409,212.7317,228.78153999999998,5520.906335257645,5519.328390214256,0
detail,FULL,0,2,200.04785356441198,202.877,228.64579999999998,236.075,253.16788999999997,4998.803947066681,4994.768694732496,4024576
