model,descriptor,bin,candidates,descriptor_mean,signed_mean,mae,variance
R3-I1,exact_distance,3,64000,70903.76184375,147.32691888427735,1227.0360025024413,2367614.9338841992
R3-I1,exact_distance,4,63995,78669.7879053051,64.25540899191343,1297.4717352185717,2681110.776589283
R3-I1,exact_distance,5,64004,86255.56493344167,-10.285367906693331,1379.143931433973,3043981.3459666753
R3-I1,exact_distance,6,63992,94193.85851356419,-111.21567600735249,1460.4169040417162,3403411.6686701085
R3-I1,exact_distance,7,64004,103152.95297168927,-196.35037556246485,1556.0460415559965,3848643.1461916384
R3-I1,exact_distance,8,64006,114806.30226853733,-346.8325667222604,1685.0686439552542,4473931.1217621565
R3-I1,exact_distance,9,64002,138835.35306709167,-661.0343403575279,1986.33990649218,6090767.228456794
R3-I1,candidate_norm,0,63897,507.61899620749193,-63.35646226177481,1432.3842035326384,3406949.6513107736
R3-I1,candidate_norm,1,63848,507.98101650412787,-44.65203922426114,1406.3160195894939,3304556.5488603916
R3-I1,candidate_norm,2,64174,508.20072335664827,-28.973628155970488,1395.0911944479074,3276509.628330768
R3-I1,candidate_norm,3,63808,508.39340174793875,-10.827871852557184,1391.557738530839,3253740.403741893
R3-I1,candidate_norm,4,64198,508.57723364097495,-19.018522115387892,1380.170073478882,3217857.6288192463
R3-I1,candidate_norm,5,63899,508.7618510333143,-18.8954553042509,1384.3152396712915,3227230.9274959764
R3-I1,candidate_norm,6,64010,508.95430236839314,-21.359001950378847,1380.9191952887,3227375.950399327
R3-I1,candidate_norm,7,64106,509.1683819570635,10.009343950580265,1355.4805193311267,3099709.1125495676
R3-I1,candidate_norm,8,63879,509.4342971210589,38.25294259031235,1336.3981208918913,3034471.871357014
R3-I1,candidate_norm,9,64181,509.9152560813243,169.36847861213855,1241.9282458393577,2603368.7546466617
R4-I1,exact_distance,0,63997,31987.259652796223,550.8311114356892,919.1301028755346,1019352.4112908447
R4-I1,exact_distance,1,63998,51669.7248351511,336.15844489280914,1050.038880121254,1639093.112068559
R4-I1,exact_distance,2,64002,62308.005671697756,229.00647459014954,1140.0362547874481,2020687.2071041903
R4-I1,exact_distance,3,64000,70903.76184375,128.10712939453126,1223.7576906738282,2374077.2499298784
R4-I1,exact_distance,4,63995,78669.7879053051,63.06891090124228,1289.908316323541,2655572.3101657256
R4-I1,exact_distance,5,64004,86255.56493344167,-20.412769612055495,1380.8431753288858,3041105.0510021113
R4-I1,exact_distance,6,63992,94193.85851356419,-98.48565738686085,1461.3546707986936,3403431.4791164366
R4-I1,exact_distance,7,64004,103152.95297168927,-217.54408110723548,1571.068115982009,3916202.8608909957
R4-I1,exact_distance,8,64006,114806.30226853733,-342.1184633813627,1697.110001528177,4542455.438356205
R4-I1,exact_distance,9,64002,138835.35306709167,-654.3108215856536,1992.3074374140651,6150675.352412249
R4-I1,candidate_norm,0,63897,507.61899620749193,-61.56335590781111,1435.525643649093,3436604.9368403023
R4-I1,candidate_norm,1,63848,507.98101650412787,-45.71197967854318,1418.0205672493166,3363926.3523041024
R4-I1,candidate_norm,2,64174,508.20072335664827,-35.50317298355837,1394.4785240554488,3265150.1079148147
R4-I1,candidate_norm,3,63808,508.39340174793875,-19.072270407719742,1398.2385110577704,3292286.952322041
R4-I1,candidate_norm,4,64198,508.57723364097495,-22.430037769046788,1386.8243836717497,3238588.9776433758
R4-I1,candidate_norm,5,63899,508.7618510333143,-1.877909334488069,1380.2957534447369,3218727.5551705523
R4-I1,candidate_norm,6,64010,508.95430236839314,-11.312035575953708,1369.7895545915371,3179170.3019174435
R4-I1,candidate_norm,7,64106,509.1683819570635,-3.7951035275681098,1369.6623257905485,3193437.477527444
R4-I1,candidate_norm,8,63879,509.4342971210589,29.871206112627853,1333.9521665820798,3028106.721938389
R4-I1,candidate_norm,9,64181,509.9152560813243,145.1578549846759,1239.353149758319,2610875.210227297
