ef_search,feature,bin,count,min_x,max_x,mean_x,mean_loss,query_standard_error,mean_disagreement,harmful_fraction
64,relative_boundary_margin,8,1000,0.01607560405300078,0.023585779707229266,0.01940033804676542,0.0834,0.0022999412448429482,0.09319999999999999,0.658
64,relative_boundary_margin,9,1000,0.023595280943811237,0.24173529752928893,0.039009921555453006,0.0539,0.002080653531734469,0.05719999999999999,0.458
64,boundary_local_mae,0,1000,133.6013849431818,565.4559659090909,452.3321504350142,0.09630000000000001,0.002672723976293372,0.10479999999999998,0.693
64,boundary_local_mae,1,1000,565.4857954545455,686.7034801136364,629.3650428799716,0.09280000000000001,0.002568025458354094,0.1061,0.675
64,boundary_local_mae,2,1000,686.7933238636364,780.7553267045455,733.6779153941762,0.09140000000000001,0.002484393731318008,0.10829999999999998,0.687
64,boundary_local_mae,3,1000,780.796875,869.3707386363636,825.2715408824575,0.09520000000000002,0.0025580272679358806,0.111,0.693
64,boundary_local_mae,4,1000,869.4268465909091,953.9204545454545,911.0478163174716,0.09440000000000001,0.0025720138520729735,0.11529999999999999,0.689
64,boundary_local_mae,5,1000,954.0223721590909,1043.678622159091,998.7228718927557,0.09720000000000002,0.0027238905226861783,0.1191,0.685
64,boundary_local_mae,6,1000,1044.0237926136363,1145.9421164772727,1092.5152520419033,0.09920000000000001,0.002776160490149492,0.12189999999999998,0.685
64,boundary_local_mae,7,1000,1145.946377840909,1274.0955255681818,1209.1066670809657,0.10560000000000001,0.0027706165949687657,0.13129999999999997,0.713
64,boundary_local_mae,8,1000,1274.3188920454545,1462.7249644886363,1362.015045365767,0.10430000000000002,0.0026830409442848073,0.1329,0.721
64,boundary_local_mae,9,1000,1462.862215909091,3095.9186789772725,1688.1559501065342,0.11900000000000001,0.002871802090543018,0.15109999999999998,0.774
64,error_scale_over_boundary_margin,0,985,0.12673042637719567,0.8188898721764772,0.5843529899772785,0.040812182741116754,0.0017591299697262493,0.04588832487309644,0.3766497461928934
64,error_scale_over_boundary_margin,1,985,0.8190092179708477,1.2235823098121938,1.024415656862441,0.07147208121827411,0.002132667408650685,0.08548223350253806,0.601015228426396
64,error_scale_over_boundary_margin,2,985,1.2240156474577795,1.6366572659238012,1.423760749892371,0.09005076142131982,0.002352165552076714,0.10598984771573602,0.698477157360406
64,error_scale_over_boundary_margin,3,984,1.6366832386363637,2.1561314291736933,1.8851608763612562,0.09359756097560977,0.002412497955446966,0.11229674796747965,0.7073170731707317
64,error_scale_over_boundary_margin,4,985,2.1571270230716255,2.8751352106314187,2.49132582262178,0.10263959390862945,0.0025762958713342367,0.12274111675126902,0.7401015228426396
64,error_scale_over_boundary_margin,5,985,2.8753785475311493,3.901883848733234,3.3589653794485868,0.1081218274111675,0.0025846698276609697,0.12903553299492385,0.7614213197969543
64,error_scale_over_boundary_margin,6,984,3.9023222279614327,5.703559644294508,4.742413571581884,0.1155487804878049,0.002783092113341831,0.13760162601626016,0.7591463414634146
64,error_scale_over_boundary_margin,7,985,5.705638647504456,9.203257330081476,7.2645270017892765,0.12101522842639595,0.002900653899667805,0.14710659898477155,0.782741116751269
64,error_scale_over_boundary_margin,8,985,9.204557451627764,19.28129603324916,13.092302384501275,0.126497461928934,0.002978472318176768,0.15532994923857868,0.7928934010152284
64,error_scale_over_boundary_margin,9,985,19.29134706439394,1770.4098011363637,88.20236282055284,0.12791878172588833,0.0029998406789401417,0.15715736040609135,0.8060913705583757
64,error_scale_over_boundary_margin,zero_margin,152,,,,0.08486842105263157,0.006451137387933186,0.14078947368421052,0.631578947368421
64,cross_boundary_inversion_count,0,1933,0,0,0.0,0.0,0.0,0.0,0.0
64,cross_boundary_inversion_count,1,953,1,1,1.0,0.08394543546694648,0.0011898147104172946,0.1,0.8394543546694648
64,cross_boundary_inversion_count,2,1044,2,2,2.0,0.08457854406130268,0.0011182802037907867,0.1,0.8457854406130269
64,cross_boundary_inversion_count,3,893,3,3,3.0,0.0845464725643897,0.0012102612628652671,0.09999999999999999,0.845464725643897
64,cross_boundary_inversion_count,4,767,4,4,4.0,0.1016949152542373,0.0019990247392257608,0.1211212516297262,0.8552803129074316
64,cross_boundary_inversion_count,5,1265,5,6,5.465612648221344,0.11652173913043476,0.0017972296194161965,0.13905138339920947,0.8648221343873518
64,cross_boundary_inversion_count,6,881,7,8,7.465380249716231,0.13166855845629968,0.0022158002947174904,0.15788876276958003,0.8921679909194098
64,cross_boundary_inversion_count,7,1102,9,12,10.323956442831216,0.1568965517241379,0.002405825273190391,0.19128856624319418,0.8901996370235935
64,cross_boundary_inversion_count,8,1162,13,85,19.07314974182444,0.20421686746987952,0.003013263589008875,0.25309810671256455,0.9122203098106713
64,cross_boundary_inversion_fraction,0,2000,0.0,7.757951900698215e-05,2.474934199956114e-06,0.0024000000000000002,0.00034231358327511247,0.0033499999999999992,0.024
64,cross_boundary_inversion_fraction,1,998,7.776049766718506e-05,0.00016406890894175554,0.00011146661775652748,0.08056112224448897,0.0012532876753358934,0.09999999999999999,0.8056112224448898
64,cross_boundary_inversion_fraction,2,999,0.00016420361247947455,0.0002536461636017755,0.00020539649442347086,0.08348348348348349,0.001175423146342288,0.1,0.8348348348348348
64,cross_boundary_inversion_fraction,3,1003,0.0002538071065989848,0.00036845983787767134,0.00030921198900777964,0.09032901296111666,0.001366325727882446,0.10787637088733798,0.8534396809571286
64,cross_boundary_inversion_fraction,4,1000,0.00036855036855036854,0.0005071851225697379,0.0004360901763482491,0.10330000000000002,0.0018661705689975376,0.12669999999999998,0.842
64,cross_boundary_inversion_fraction,5,1000,0.0005076142131979696,0.0006734006734006734,0.0005862504361229132,0.12060000000000003,0.0020148696483146744,0.14549999999999996,0.883
64,cross_boundary_inversion_fraction,6,1000,0.0006741573033707865,0.0009244992295839754,0.0007909853008016541,0.1353,0.0022246030789466373,0.16609999999999997,0.89
64,cross_boundary_inversion_fraction,7,1000,0.0009247027741083224,0.0013651877133105802,0.0011154186105326318,0.162,0.0024904220931806324,0.19569999999999999,0.914
64,cross_boundary_inversion_fraction,8,1000,0.0013655462184873949,0.023943661971830985,0.0022711051156617313,0.215,0.0030601248935892083,0.25320000000000004,0.944
64,maximum_violation,0,1000,-7959.24609375,-564.2265625,-1393.0611782226563,0.0,0.0,0.0,0.0
64,maximum_violation,1,1000,-561.96875,28.6630859375,-231.7198447265625,0.0057,0.0007335175853706904,0.0066999999999999985,0.057
64,maximum_violation,2,1000,29.15234375,432.67578125,235.4029354248047,0.09330000000000001,0.001388177595640067,0.10679999999999999,0.874
64,maximum_violation,3,1000,433.4140625,782.90625,608.8638336181641,0.10230000000000002,0.0018461089128537674,0.1196,0.866
64,maximum_violation,4,1000,783.1796875,1108.44140625,943.3400369873046,0.11640000000000002,0.002208147620951986,0.1348,0.877
64,maximum_violation,5,1000,1108.4892578125,1449.3359375,1275.2867177734374,0.1264,0.0023555442234414934,0.14839999999999998,0.878
64,maximum_violation,6,1000,1449.375,1854.8017578125,1647.7243090820311,0.12560000000000002,0.002427041518089571,0.15189999999999998,0.867
64,maximum_violation,7,1000,1855.0859375,2353.59375,2100.114794921875,0.1335,0.002579613227676662,0.16469999999999999,0.873
64,maximum_violation,8,1000,2353.7734375,3129.296875,2700.0194248046873,0.14290000000000003,0.002904828399067323,0.1779,0.853
64,maximum_violation,9,1000,3130.26171875,10413.296875,4080.309564453125,0.14930000000000002,0.002944176995049411,0.191,0.87
64,topk_agreement,0,712,0.5,0.7,0.6862359550561798,0.2623595505617977,0.0034459350740112375,0.3137640449438202,0.9578651685393258
64,topk_agreement,1,2429,0.8,0.8,0.7999999999999999,0.16488266776451216,0.0012404322585496156,0.19999999999999993,0.9271305063812268
64,topk_agreement,2,6859,0.9,1.0,0.9281819507216796,0.059498469164601255,0.0005927749940523806,0.07181804927832044,0.5949846916460125
64,random_inversion_rate,0,725,0.001953125,0.021484375,0.01900592672413793,0.09806896551724137,0.003016843726347458,0.1155862068965517,0.713103448275862
64,random_inversion_rate,1,1042,0.0234375,0.025390625,0.024513405710172746,0.09280230326295585,0.0025103966778370936,0.11266794625719767,0.682341650671785
