start_query,queries,total_batch_us,refine_and_final_us,exact_evals
4352,32,5685.768,25.085999999999999,176
4384,32,5928.21,9.0700000000000003,64
4416,32,5744.0680000000002,6.8140000000000001,48
4448,32,5802.2169999999996,24.106000000000002,176
4480,32,6023.4480000000003,18.469999999999999,128
4512,32,5924.6040000000003,7.2859999999999996,48
4544,32,5750.9129999999996,29.923999999999999,224
4576,32,5984.9840000000004,13.407999999999999,96
4608,32,5794.3490000000002,21.748000000000001,160
4640,32,5913.3599999999997,13.933,96
4672,32,5851.0680000000002,29.506,208
4704,32,5977.0699999999997,13.224,96
4736,32,5685.2200000000003,17.827000000000002,128
4768,32,5852.2129999999997,20.218,144
4800,32,5706.6999999999998,15.738,112
4832,32,5828.3630000000003,21.923999999999999,160
4864,32,6110.4970000000003,11.714,80
4896,32,5692.2290000000003,19.815999999999999,144
4928,32,5888.9530000000004,15.367000000000001,112
4960,32,5807.5150000000003,15.250999999999999,112
4992,32,5958.3850000000002,12.021000000000001,80
5024,32,5960.1310000000003,11.087,80
5056,32,5805.442,12.898,96
5088,32,5956.6289999999999,15.662000000000001,112
5120,32,5684.2650000000003,20.064,144
5152,32,5916.7460000000001,18.402999999999999,144
5184,32,5788.3540000000003,9.2159999999999993,64
5216,32,5989.5010000000002,22,160
5248,32,5788.2860000000001,20.835999999999999,144
5280,32,5668.8900000000003,13.590999999999999,96
5312,32,5872.1499999999996,22.32,160
5344,32,5842.8339999999998,24.945,176
5376,32,5732.9690000000001,22.527000000000001,160
5408,32,5941.3339999999998,10.792,80
5440,32,6017.6329999999998,18.242000000000001,128
5472,32,5918.933,17.074000000000002,128
5504,32,5811.6049999999996,15.672000000000001,112
5536,32,5702.5680000000002,26.792999999999999,176
5568,32,5599.2860000000001,22.814,160
5600,32,5773.5569999999998,26.074000000000002,192
5632,32,5851.3739999999998,7.343,48
5664,32,5612.2190000000001,18.466000000000001,128
5696,32,5737.0299999999997,17.893000000000001,128
5728,32,5870.8329999999996,18.378,128
5760,32,6044.1530000000002,21.649999999999999,160
5792,32,6247.4489999999996,16.228000000000002,112
5824,32,6045.6790000000001,23.475000000000001,160
5856,32,5755.348,21.829000000000001,160
5888,32,5860.9840000000004,11.369,80
5920,32,5784.2160000000003,25.207999999999998,176
5952,32,5906.5529999999999,17.648,128
5984,32,5815.2200000000003,18.495000000000001,128
6016,32,5746.2340000000004,27.414999999999999,192
6048,32,5708.0110000000004,14.231,96
6080,32,5633.5940000000001,11.782999999999999,80
6112,32,5824.5309999999999,17.738,128
6144,32,6165.5379999999996,20.292000000000002,112
6176,32,5944.1700000000001,20.757999999999999,144
6208,32,6079.7079999999996,14.007,96
6240,32,5832.3630000000003,45.351999999999997,240
6272,32,5967.915,9.3420000000000005,64
6304,32,5957.3310000000001,15.134,96
6336,32,5731.5100000000002,16.777999999999999,112
6368,32,5490.7849999999999,25.581,160
6400,32,5489.0069999999996,18.657,128
6432,32,5706.027,15.962999999999999,112
6464,32,5792.0469999999996,21.605,128
6496,32,6078.2280000000001,15.986000000000001,112
6528,32,5723.6729999999998,18.943000000000001,128
6560,32,5974.5299999999997,7.1799999999999997,48
6592,32,5747.0469999999996,18.218,128
6624,32,5882.7349999999997,21.053999999999998,144
6656,32,5790.7449999999999,16.620000000000001,112
6688,32,5735.6679999999997,22.175000000000001,160
6720,32,5732.5050000000001,9.4749999999999996,64
6752,32,5910.2449999999999,22.895,160
6784,32,5787.4160000000002,39.328000000000003,272
6816,32,5835.3509999999997,29.524999999999999,208
6848,32,5755.3670000000002,19.234999999999999,128
6880,32,5989.5590000000002,11.903,80
6912,32,5826.2049999999999,16.405999999999999,112
6944,32,5822.3230000000003,14.351000000000001,96
6976,32,5875.5820000000003,21.102,144
7008,32,5582.5919999999996,12.630000000000001,80
7040,32,5801.8059999999996,19.422999999999998,128
7072,32,5815.4740000000002,16.373000000000001,112
7104,32,5959.8209999999999,13.492000000000001,96
7136,32,5662.9290000000001,13.678000000000001,96
7168,32,5610.9939999999997,24.599,176
7200,32,5637.8969999999999,16.216000000000001,112
7232,32,5782.6940000000004,18.920000000000002,128
7264,32,5979.3720000000003,13.249000000000001,96
7296,32,5842.9880000000003,18.709,128
7328,32,5877.3580000000002,20.902000000000001,144
7360,32,5951.0959999999995,25.696000000000002,160
7392,32,5863.7520000000004,16.172999999999998,112
7424,32,5845.4139999999998,14.058,96
7456,32,5887.8419999999996,20.614999999999998,144
7488,32,5876.2920000000004,21.09,144
7520,32,5762.9880000000003,16.084,112
7552,32,5765.393,16.661999999999999,112
7584,32,6012.2550000000001,28.184999999999999,192
7616,32,5982.0039999999999,22.004000000000001,144
7648,32,6009.1469999999999,21.337,144
7680,32,5639.2929999999997,17.181999999999999,112
7712,32,5788.8829999999998,18.515999999999998,128
7744,32,5656.4620000000004,12.061999999999999,80
7776,32,5958.6019999999999,16.751999999999999,112
7808,32,5646.7730000000001,27.225000000000001,192
7840,32,6102.634,16.812999999999999,112
7872,32,5769.0519999999997,23.600999999999999,160
7904,32,5877.9340000000002,21.728999999999999,160
7936,32,5792.8819999999996,15.702,112
7968,32,6091.2359999999999,15.897,112
8000,32,5873.5820000000003,33.130000000000003,240
8032,32,5901.7269999999999,26.446999999999999,192
8064,32,5818.7740000000003,22.055,160
8096,32,5823.6049999999996,9.1989999999999998,64
8128,32,6000.9030000000002,22.033999999999999,160
8160,32,5655.9809999999998,11.131,80
8192,32,5744.3310000000001,15.742000000000001,112
8224,32,6173.5990000000002,15.879,112
8256,32,6007.7520000000004,23.209,160
8288,32,5750.5829999999996,17.661000000000001,128
8320,32,5851.366,29.727,208
8352,32,5771.6419999999998,8.7789999999999999,64
8384,32,6031.4340000000002,13.727,96
8416,32,5916.1409999999996,13.615,96
8448,32,5803.1710000000003,26.158999999999999,192
8480,32,5791.8909999999996,22.870999999999999,160
8512,32,6123.3760000000002,18.498999999999999,128
8544,32,6047.3469999999998,15.765000000000001,112
8576,32,5845.5410000000002,17.809000000000001,128
8608,32,5989.9780000000001,28.059000000000001,208
8640,32,5894.8149999999996,11.781000000000001,80
8672,32,5968.134,18.806000000000001,128
8704,32,5787.7089999999998,18.259,128
8736,32,5759.6589999999997,17.616,128
8768,32,5842.3760000000002,18.763999999999999,128
8800,32,5854.6769999999997,19.588000000000001,128
8832,32,5890.7280000000001,9.7119999999999997,64
8864,32,6187.8119999999999,11.003,80
8896,32,5714.4350000000004,11.007,80
8928,32,5985.3779999999997,11.183,80
