group,metric,query_count,mean,median,p90,p95,p99,min,max
fully_rescued,relative_boundary_margin,2731,0.01388959546068877,0.008761734465802414,0.03314260333385588,0.04487092635892927,0.07346614316367008,0.0,0.1567259483492574
fully_rescued,boundary_gap_r1,2731,675.1797876235811,452.0,1580.0,2118.0,3448.099999999994,0.0,6627.0
fully_rescued,boundary_gap_r2,2731,1814.334675942878,1566.0,3321.0,4061.0,6023.899999999999,29.0,14903.0
fully_rescued,boundary_gap_r5,2731,5269.822409373855,4724.0,8368.0,10063.5,14826.599999999984,768.0,39738.0
fully_rescued,d1,2731,40571.76821677041,41503.0,63305.0,68935.0,78803.79999999999,998.0,102082.0
fully_rescued,dk,2731,54477.997070670084,55217.0,76802.0,83654.0,94007.09999999992,5998.0,113712.0
fully_rescued,dk_plus_1,2731,55153.176858293664,56014.0,77546.0,84428.0,95078.69999999992,6104.0,113899.0
fully_rescued,d20,2731,58407.932259245696,59239.0,81238.0,88614.0,99884.89999999979,7268.0,120844.0
fully_rescued,local_distance_concentration,2731,0.7602743810897403,0.35532433030772637,1.5324838876953848,2.793729734572004,7.334090023866414,0.07760971981155468,44.199887387387385
fully_rescued,candidate_count,2731,1073.3123398022703,1112.0,1311.0,1366.5,1474.0,287.0,1637.0
partially_improved_persistent,boundary_margin,5140,381.57782101167317,261.5,881.1000000000004,1165.300000000001,1738.489999999997,0.0,4564.0
partially_improved_persistent,relative_boundary_margin,5140,0.008410151914282593,0.005800021364902574,0.01929925791375008,0.024441094469867978,0.03981490692724234,0.0,0.07607361963190185
partially_improved_persistent,boundary_gap_r1,5140,381.57782101167317,261.5,881.1000000000004,1165.300000000001,1738.489999999997,0.0,4564.0
partially_improved_persistent,boundary_gap_r2,5140,1189.5001945525291,1017.0,2229.1000000000004,2686.1000000000004,3766.829999999999,5.0,7525.0
partially_improved_persistent,boundary_gap_r5,5140,3985.707782101167,3647.5,6435.1,7540.150000000001,10317.22,170.0,22757.0
partially_improved_persistent,d1,5140,37088.361284046696,37304.0,59182.1,64968.75,76200.74999999997,433.0,111426.0
partially_improved_persistent,dk,5140,49017.47723735408,49592.5,71665.50000000001,77664.20000000001,89114.22999999995,980.0,128010.0
partially_improved_persistent,dk_plus_1,5140,49399.05505836576,49980.5,72219.6,78156.75,89503.70999999996,1012.0,128651.0
partially_improved_persistent,d20,5140,52232.905836575876,52759.0,75873.6,82181.85,94281.38999999997,1262.0,131235.0
partially_improved_persistent,local_distance_concentration,5140,0.669702103941348,0.33837400047635785,1.1534402261148735,2.359281495568955,6.7380403119894305,0.06377947435984055,20.309745762711863
partially_improved_persistent,candidate_count,5140,1028.6143968871595,1072.0,1278.1000000000004,1329.0,1423.0,247.0,1608.0
unchanged_harmful,boundary_margin,1466,427.3117326057299,284.0,991.5,1353.0,2048.4499999999975,0.0,3426.0
unchanged_harmful,relative_boundary_margin,1466,0.009665287840849666,0.006312346311729208,0.022469592822502694,0.02934864784647007,0.051105961402736134,0.0,0.09327456277548699
unchanged_harmful,boundary_gap_r1,1466,427.3117326057299,284.0,991.5,1353.0,2048.4499999999975,0.0,3426.0
unchanged_harmful,boundary_gap_r2,1466,1446.3458390177354,1182.5,2767.5,3534.5,5304.049999999992,29.0,9160.0
unchanged_harmful,boundary_gap_r5,1466,4971.430422919509,4438.0,8235.0,9767.25,14739.499999999982,289.0,33749.0
unchanged_harmful,d1,1466,35471.445429740794,35538.0,57931.0,63845.5,75141.09999999998,440.0,92643.0
unchanged_harmful,dk,1466,49452.49113233288,50415.0,71328.0,77820.25,89198.49999999999,1131.0,110024.0
unchanged_harmful,dk_plus_1,1466,49879.80286493861,50901.5,71954.0,78374.0,89862.94999999998,1133.0,110024.0
unchanged_harmful,d20,1466,53198.52455661664,54391.5,76401.0,81933.25,95509.54999999994,1214.0,112187.0
unchanged_harmful,local_distance_concentration,1466,0.9318854231915445,0.40252701105865885,1.8783623576623234,3.307883789682993,10.149696295603219,0.09152455223241066,28.097902097902097
unchanged_harmful,candidate_count,1466,999.7155525238745,1033.0,1255.0,1314.75,1423.199999999999,294.0,1742.0
