scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,d20,harmful_frequency_all,4,999,52503.382382382384,0.7395172950728507
all,d20,harmful_frequency_all,5,1001,57339.380619380616,0.6947496947496947
all,d20,harmful_frequency_all,6,1000,62047.988,0.6757777777777778
all,d20,harmful_frequency_all,7,1000,67306.13,0.6636666666666667
all,d20,harmful_frequency_all,8,1000,73931.457,0.637
all,d20,harmful_frequency_all,9,1000,86839.98,0.5638888888888889
all,d20,harmful_subset_frequency,0,1000,20494.517,0.8656666666666666
all,d20,harmful_subset_frequency,1,1000,34074.952,0.8183333333333332
all,d20,harmful_subset_frequency,2,1000,41462.541,0.7986666666666666
all,d20,harmful_subset_frequency,3,1000,47206.387,0.7693333333333334
all,d20,harmful_subset_frequency,4,999,52503.382382382384,0.7921254587921254
all,d20,harmful_subset_frequency,5,1001,57339.380619380616,0.7339327339327341
all,d20,harmful_subset_frequency,6,1000,62047.988,0.7086666666666667
all,d20,harmful_subset_frequency,7,1000,67306.13,0.7006666666666668
all,d20,harmful_subset_frequency,8,1000,73931.457,0.6623333333333332
all,d20,harmful_subset_frequency,9,1000,86839.98,0.5646666666666668
all,d20,overall_mean_loss,0,1000,20494.517,0.12842222222222224
all,d20,overall_mean_loss,1,1000,34074.952,0.11252222222222223
all,d20,overall_mean_loss,2,1000,41462.541,0.1075888888888889
all,d20,overall_mean_loss,3,1000,47206.387,0.10420000000000001
all,d20,overall_mean_loss,4,999,52503.382382382384,0.1051829607385163
all,d20,overall_mean_loss,5,1001,57339.380619380616,0.09834609834609837
all,d20,overall_mean_loss,6,1000,62047.988,0.09321111111111112
all,d20,overall_mean_loss,7,1000,67306.13,0.09325555555555556
all,d20,overall_mean_loss,8,1000,73931.457,0.08733333333333333
all,d20,overall_mean_loss,9,1000,86839.98,0.07426666666666668
all,d20,between_subset_variability,0,1000,20494.517,0.0011886419753086418
all,d20,between_subset_variability,1,1000,34074.952,0.0010222222222222223
all,d20,between_subset_variability,2,1000,41462.541,0.001114814814814815
all,d20,between_subset_variability,3,1000,47206.387,0.0010049382716049381
all,d20,between_subset_variability,4,999,52503.382382382384,0.0010190437350931177
all,d20,between_subset_variability,5,1001,57339.380619380616,0.0010392077058743727
all,d20,between_subset_variability,6,1000,62047.988,0.0010308641975308643
all,d20,between_subset_variability,7,1000,67306.13,0.0010162962962962964
all,d20,between_subset_variability,8,1000,73931.457,0.000952098765432099
all,d20,between_subset_variability,9,1000,86839.98,0.0007896296296296298
all,d20,within_subset_variability,0,1000,20494.517,0.00316
all,d20,within_subset_variability,1,1000,34074.952,0.002843703703703704
all,d20,within_subset_variability,2,1000,41462.541,0.0027622222222222223
all,d20,within_subset_variability,3,1000,47206.387,0.002754814814814815
all,d20,within_subset_variability,4,999,52503.382382382384,0.0028636043450858267
all,d20,within_subset_variability,5,1001,57339.380619380616,0.0028349428349428354
all,d20,within_subset_variability,6,1000,62047.988,0.00257925925925926
all,d20,within_subset_variability,7,1000,67306.13,0.0027192592592592594
all,d20,within_subset_variability,8,1000,73931.457,0.002517777777777778
all,d20,within_subset_variability,9,1000,86839.98,0.0022103703703703704
all,boundary_margin,harmful_frequency_all,0,990,16.47979797979798,0.7757575757575758
all,boundary_margin,harmful_frequency_all,1,999,64.89689689689689,0.8005783561339116
all,boundary_margin,harmful_frequency_all,2,1003,120.86739780658026,0.7772238839038441
all,boundary_margin,harmful_frequency_all,3,1006,187.31908548707753,0.7531477799867463
all,boundary_margin,harmful_frequency_all,4,995,264.30452261306533,0.7622557230597432
all,boundary_margin,harmful_frequency_all,5,999,359.40840840840843,0.7405182960738517
all,boundary_margin,harmful_frequency_all,6,1006,479.9900596421471,0.7117296222664016
all,boundary_margin,harmful_frequency_all,7,999,645.2632632632633,0.6697808920031142
all,boundary_margin,harmful_frequency_all,8,1003,917.2313060817547,0.6318821313836269
all,boundary_margin,harmful_frequency_all,9,1000,1761.07,0.4331111111111111
all,boundary_margin,harmful_subset_frequency,0,990,16.47979797979798,0.8151515151515152
all,boundary_margin,harmful_subset_frequency,1,999,64.89689689689689,0.8398398398398398
all,boundary_margin,harmful_subset_frequency,2,1003,120.86739780658026,0.8235294117647058
all,boundary_margin,harmful_subset_frequency,3,1006,187.31908548707753,0.7892644135188867
all,boundary_margin,harmful_subset_frequency,4,995,264.30452261306533,0.80536013400335
all,boundary_margin,harmful_subset_frequency,5,999,359.40840840840843,0.782449115782449
