scope,queries,model_a,model_b,relation,harmful_jaccard,loss_spearman,inversion_spearman,homogeneous_independent_jaccard
no_exact_boundary_ties,9829,B1,C2,between,0.663919742027947,0.3871036093128129,0.41174024934609266,0.5488467084701156
no_exact_boundary_ties,9829,B1,C3,between,0.6615512729003094,0.3858057020451398,0.42999359879745264,0.5509878498254556
no_exact_boundary_ties,9829,B2,B3,within,0.6779415317709592,0.4289626094282304,0.44537803788418456,0.5462907601509132
no_exact_boundary_ties,9829,B2,C1,between,0.6598444045481747,0.39020630332746636,0.4055456542148396,0.5449499340757029
no_exact_boundary_ties,9829,B2,C2,between,0.6624417075212244,0.3954839927344818,0.4101860088069746,0.5470821626139485
no_exact_boundary_ties,9829,B2,C3,between,0.666626808561521,0.3999159730026963,0.4302373709406887,0.5492095318509662
no_exact_boundary_ties,9829,B3,C1,between,0.6560707456978967,0.3818844643095698,0.4060870617132502,0.5443454341540476
no_exact_boundary_ties,9829,B3,C2,between,0.6576780813745376,0.38220243775916135,0.4052712941067972,0.5464729256219082
no_exact_boundary_ties,9829,B3,C3,between,0.6608633436680181,0.3857129934995648,0.41759168065258884,0.5485955501796846
no_exact_boundary_ties,9829,C1,C2,within,0.6661861861861862,0.40447454718972337,0.4393916607521024,0.5451312062751762
no_exact_boundary_ties,9829,C1,C3,within,0.6689870379260682,0.4025490497160602,0.4454993093491927,0.5472434004017926
no_exact_boundary_ties,9829,C2,C3,within,0.6780211844005778,0.40816722559405844,0.44191346146297694,0.5493936494304942
